,HRB
% Below High,0.1161
% Held by Institutions,0.9125
52-Wk Range,['21.08 - 48.76']
Annual Dividend $,1.16
Annual Dividend %,0.0269
Ask,47.7
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,34.71
Bid Size,100.0
Closing Price,43.1
Day Change $,0.51
Day Change %,0.012
Day High,43.29
Day Low,42.43
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",3.24
Ex-dividend,2022-12-05 00:00:00
Ex-dividend Date,12/05/22
Historical Volatility,0.385
Last (size),9.0
Last (time),5:00p ET 11/25/22
Market Cap,6.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",13.29
Prev Close,42.59
Short Interest,0.0821
Today's Open,42.6
Volume,613939.0
Volume 10-day Avg,1689036.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.09552238805970137
Growth 1yr High Est,0.06060606060606055
Growth 1yr Consensus Est,0.07806422433288096
Growth 2yr Low Est,0.06819716133230302
Growth 2yr High Est,0.0861471861471862
Growth 2yr Consensus Est,0.07717217373974461
Growth 5yr Low Est,0.06819716133230302
Growth 5yr High Est,0.0861471861471862
Growth 5yr Consensus Est,0.07717217373974461
Growth 5yr Actual/Est,0.9377052442359222
Growth 3yr Historic,0.8953347836596568
Price/Earnings (TTM),13.2943
Price/Sales (TTM),1.94187
Price/Book (MRQ),
Price/Cash Flow (TTM),9.80587
5yr Low,11.29
5yr High,48.76
5yr Avg Return,0.14943333333333333
Short Int Current Month,12641310.0
Short Int Prev Month,11778872.0
Short Int Pct of Float,0.0820981
Days to Cover,5.97056
Float,154.0209
Shares Outstanding,155.4682
Institutions Holding Shares,594.0
FCF Growth 5yr,-0.4846277716087622
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",13.29
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.44930000000000003
Operating Profit Margin (TTM),0.2059
Net Profit Margin (TTM),0.1574
Annual Dividend Yield,0.0269
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.7445
EPS Growth (TTM),
Revenue Growth (MRQ),-0.8286
Revenue Growth (TTM),
Return On Equity (TTM),
Return On Assets (TTM),0.1833
Return On Investment (TTM),0.24780000000000002
Revenue Per Employee (TTM),908061.0
Total Debt/Total Capital (MRQ),1.2168
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),-13.21
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-11-02 00:00:00
researchTeam since,2022-11-02 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
