,GTLS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",73.59,24.01,Valuation,3.064972927946689
Price/Sales (TTM),3.2,3.06,Valuation,1.0457516339869282
Price/Book (MRQ),3.0,7.44,Valuation,0.4032258064516129
"PEG Ratio (TTM, GAAP)",1.41,1.49,Valuation,0.9463087248322147
Gross Profit Margin (TTM),0.23500000000000001,0.32799999999999996,Profitability,0.7164634146341464
Operating Profit Margin (TTM),0.0721,0.0198,Profitability,3.641414141414141
Net Profit Margin (TTM),0.0501,-0.0086,Profitability,-5.825581395348837
Annual Dividend Yield,,0.0143,Dividend,
Dividend Change %,,0.1666,Dividend,
"Dividend Growth Rate, 3 Years",,0.0885,Dividend,
EPS Growth (MRQ),2.1465,0.3518,Gowth rates,6.101478112563957
EPS Growth (TTM),-0.1272,0.16149999999999998,Gowth rates,-0.7876160990712076
Revenue Growth (MRQ),0.018000000000000002,0.196,Gowth rates,0.09183673469387756
Revenue Growth (TTM),0.23870000000000002,0.1475,Gowth rates,1.618305084745763
Return On Equity (TTM),0.0478,0.2859,Effectiveness,0.1671913256383351
Return On Assets (TTM),0.0257,0.0851,Effectiveness,0.3019976498237368
Return On Investment (TTM),0.034100000000000005,0.12490000000000001,Effectiveness,0.27301841473178545
Revenue Per Employee (TTM),324859.0,343373.0,Effectiveness,0.9460819575214126
Total Debt/Total Capital (MRQ),0.34,0.6352000000000001,Financial strength,0.535264483627204
Change in Debt/Total Capital Quarter over Quarter,0.0002,0.0189,Financial strength,0.010582010582010583
Quick Ratio (MRQ),0.76,1.07,Financial strength,0.7102803738317757
Interest Coverage (MRQ),15.5,20.9,Financial strength,0.7416267942583733
