,SCSC
% Above Low,0.18170000000000003
% Held by Institutions,0.9692000000000001
52-Wk Range,['25.75 - 41.01']
Annual Dividend $,
Annual Dividend %,
Ask,30.52
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.4
Bid,30.4
Bid Size,100.0
Day Change $,-0.82
Day Change %,-0.0262
Day High,31.11
Day Low,30.22
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.53
Ex-dividend Date,No dividend
Historical Volatility,0.397
Last (size),55.0
Last (time),1:46p ET 11/28/22
Market Cap,768.2M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",8.86
Prev Close,31.25
Price,30.43
Short Interest,0.0102
Today's Open,31.11
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.04249999999999998
Growth 1yr High Est,0.09876543209876543
Growth 1yr Consensus Est,0.0706327160493827
Growth 2yr Low Est,0.05722122302158272
Growth 2yr High Est,0.09657372728533775
Growth 2yr Consensus Est,0.07689747515346024
Growth 5yr Low Est,0.27861061151079136
Growth 5yr High Est,0.2692170962008084
Growth 5yr Consensus Est,0.27391385385579986
Growth 5yr Actual/Est,0.24216477797796254
Growth 3yr Historic,0.19637261883567747
Price/Earnings (TTM),8.85771
Price/Sales (TTM),0.21815
Price/Book (MRQ),0.95321
Price/Cash Flow (TTM),6.56377
5yr Low,13.78
5yr High,44.3
5yr Avg Return,-0.013633333333333332
EPS Growth 5yr,0.0487707
Revenue Growth 5yr,-0.0021533
Dividend Growth 5yr,
Short Int Current Month,252914.0
Short Int Prev Month,245524.0
Short Int Pct of Float,0.01018
Days to Cover,2.00606
Float,24.83221
Shares Outstanding,25.24522
Institutions Holding Shares,224.0
FCF Growth 5yr,0.22950015188860173
"Price/Earnings (TTM, GAAP)",8.86
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1213
Operating Profit Margin (TTM),0.035
Net Profit Margin (TTM),0.025099999999999997
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2122
EPS Growth (TTM),0.34020000000000006
Revenue Growth (MRQ),-0.0192
Revenue Growth (TTM),0.1125
Return On Equity (TTM),0.1153
Return On Assets (TTM),0.049
Return On Investment (TTM),0.08199999999999999
Revenue Per Employee (TTM),1339421.0
Total Debt/Total Capital (MRQ),0.28300000000000003
Change in Debt/Total Capital Quarter over Quarter,0.004
Quick Ratio (MRQ),1.15
Interest Coverage (MRQ),18.77
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-10-14 00:00:00
theStreet since,2021-08-31 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-14 00:00:00
cfra since,
marketEdge opinion since,
