,SCSC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",8.86,21.62,Valuation,0.4098057354301572
Price/Sales (TTM),0.22,5.43,Valuation,0.040515653775322284
Price/Book (MRQ),0.95,5.49,Valuation,0.17304189435336975
"PEG Ratio (TTM, GAAP)",,14.73,Valuation,
Gross Profit Margin (TTM),0.1213,0.33659999999999995,Profitability,0.36036838978015456
Operating Profit Margin (TTM),0.035,-0.0824,Profitability,-0.4247572815533981
Net Profit Margin (TTM),0.025099999999999997,-0.1173,Profitability,-0.21398124467178173
Annual Dividend Yield,,0.0088,Dividend,
Dividend Change %,,0.0488,Dividend,
"Dividend Growth Rate, 3 Years",,0.046,Dividend,
EPS Growth (MRQ),0.2122,0.1058,Gowth rates,2.0056710775047257
EPS Growth (TTM),0.34020000000000006,-0.0147,Gowth rates,-23.142857142857146
Revenue Growth (MRQ),-0.0192,0.1655,Gowth rates,-0.116012084592145
Revenue Growth (TTM),0.1125,0.1855,Gowth rates,0.6064690026954178
Return On Equity (TTM),0.1153,0.23850000000000002,Effectiveness,0.4834381551362683
Return On Assets (TTM),0.049,0.0752,Effectiveness,0.651595744680851
Return On Investment (TTM),0.08199999999999999,0.1041,Effectiveness,0.7877041306436118
Revenue Per Employee (TTM),1339421.0,449465.0,Effectiveness,2.980034040470337
Total Debt/Total Capital (MRQ),0.28300000000000003,0.3575,Financial strength,0.7916083916083917
Change in Debt/Total Capital Quarter over Quarter,0.004,0.0362,Financial strength,0.11049723756906077
Quick Ratio (MRQ),1.15,1.53,Financial strength,0.7516339869281045
Interest Coverage (MRQ),18.77,15.46,Financial strength,1.2141009055627425
