,TRMK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.13,11.43,Valuation,1.4986876640419946
Price/Sales (TTM),3.41,3.3,Valuation,1.0333333333333334
Price/Book (MRQ),1.48,1.46,Valuation,1.0136986301369864
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.2382,0.34240000000000004,Profitability,0.6956775700934579
Net Profit Margin (TTM),0.2011,0.2812,Profitability,0.715149359886202
Annual Dividend Yield,0.025099999999999997,0.028700000000000003,Dividend,0.8745644599303134
Dividend Change %,0.0,-0.0086,Dividend,-0.0
"Dividend Growth Rate, 3 Years",0.0,0.0734,Dividend,0.0
EPS Growth (MRQ),0.2429,-0.0335,Gowth rates,-7.250746268656716
EPS Growth (TTM),-0.2115,-0.09960000000000001,Gowth rates,2.123493975903614
Revenue Growth (MRQ),0.2324,0.5429,Gowth rates,0.42807146804199664
Revenue Growth (TTM),0.0232,0.2466,Gowth rates,0.0940794809407948
Return On Equity (TTM),0.0806,0.1135,Effectiveness,0.7101321585903084
Return On Assets (TTM),0.0076,0.0099,Effectiveness,0.7676767676767676
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0126,0.0009,Financial strength,14.0
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
