,TRMK
% Below High,0.055099999999999996
% Held by Institutions,0.6673
52-Wk Range,['26.67 - 38.47']
Annual Dividend $,0.92
Annual Dividend %,0.025099999999999997
Ask,36.38
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,0.9
Bid,36.35
Bid Size,200.0
Closing Price,36.35
Day Change $,-0.37
Day Change %,-0.0101
Day High,36.69
Day Low,36.21
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.14
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.24100000000000002
Last (size),2400.0
Last (time),3:59p ET 11/28/22
Market Cap,2.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.13
Prev Close,36.72
Short Interest,0.023799999999999998
Today's Open,36.51
Volume,168169.0
Volume 10-day Avg,270421.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.042735042735042805
Growth 1yr High Est,0.04489795918367334
Growth 1yr Consensus Est,0.04381650095935807
Growth 2yr Low Est,0.13612161972817716
Growth 2yr High Est,0.15721460459183667
Growth 2yr Consensus Est,0.1466681121600069
Growth 5yr Low Est,0.0691337712374791
Growth 5yr High Est,0.08704612086131919
Growth 5yr Consensus Est,0.07808994604939914
Growth 5yr Actual/Est,0.08031231878515166
Growth 3yr Historic,0.003541867014699829
Price/Earnings (TTM),17.12583
Price/Sales (TTM),3.40574
Price/Book (MRQ),1.48331
Price/Cash Flow (TTM),12.86322
5yr Low,20.08
5yr High,38.47
5yr Avg Return,0.022583333333333337
EPS Growth 5yr,0.0790927
Revenue Growth 5yr,0.014351599999999999
Dividend Growth 5yr,0.0
Short Int Current Month,1308874.0
Short Int Prev Month,1291279.0
Short Int Pct of Float,0.0237885
Days to Cover,5.79071
Float,55.0425
Shares Outstanding,60.95386
Institutions Holding Shares,285.0
FCF Growth 5yr,0.38385709206629426
"Price/Earnings (TTM, GAAP)",17.13
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2382
Net Profit Margin (TTM),0.2011
Annual Dividend Yield,0.025099999999999997
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),0.2429
EPS Growth (TTM),-0.2115
Revenue Growth (MRQ),0.2324
Revenue Growth (TTM),0.0232
Return On Equity (TTM),0.0806
Return On Assets (TTM),0.0076
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0126
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2020-11-17 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-07-30 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
