,AGO
% Below High,0.0464
% Held by Institutions,0.9224
52-Wk Range,['44.94 - 65.68']
Annual Dividend $,1.0
Annual Dividend %,0.016
Ask,63.03
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,27.62
Bid Size,100.0
Closing Price,62.63
Day Change $,0.96
Day Change %,0.015600000000000001
Day High,63.0
Day Low,61.82
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",4.17
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.373
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,3.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.02
Prev Close,61.67
Short Interest,0.0241
Today's Open,62.06
Volume,107723.0
Volume 10-day Avg,229336.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.5865724381625441
Growth 1yr High Est,0.5901639344262295
Growth 1yr Consensus Est,0.5883681862943868
Growth 2yr Low Est,0.14963365783405602
Growth 2yr High Est,0.2682778435017746
Growth 2yr Consensus Est,0.2089557506679153
Growth 5yr Low Est,0.016033045133244217
Growth 5yr High Est,0.08532625684323555
Growth 5yr Consensus Est,0.050679650988239885
Growth 5yr Actual/Est,0.1199278367184562
Growth 3yr Historic,0.22188423019625067
Price/Earnings (TTM),15.02203
Price/Sales (TTM),5.59145
Price/Book (MRQ),0.77153
Price/Cash Flow (TTM),
5yr Low,13.64
5yr High,65.68
5yr Avg Return,0.13524999999999998
EPS Growth 5yr,-0.044168599999999995
Revenue Growth 5yr,-0.1355814
Dividend Growth 5yr,0.1109535
Short Int Current Month,1354841.0
Short Int Prev Month,1409403.0
Short Int Pct of Float,0.024110399999999997
Days to Cover,4.79451
Float,56.40565
Shares Outstanding,59.99446
Institutions Holding Shares,333.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",15.02
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.7664
Net Profit Margin (TTM),0.5015
Annual Dividend Yield,0.016
Dividend Change %,0.1
"Dividend Growth Rate, 3 Years",0.11199999999999999
EPS Growth (MRQ),1.2374
EPS Growth (TTM),0.1975
Revenue Growth (MRQ),0.1343
Revenue Growth (TTM),-0.2057
Return On Equity (TTM),0.052199999999999996
Return On Assets (TTM),0.0197
Return On Investment (TTM),
Revenue Per Employee (TTM),1651106.0
Total Debt/Total Capital (MRQ),0.2446
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),0.84
newConstructs,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
newConstructs since,2022-11-26 00:00:00
researchTeam since,2022-07-14 00:00:00
ford since,2022-08-05 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-10-27 00:00:00
