,WOOF
% Above Low,0.057999999999999996
% Held by Institutions,0.647
52-Wk Range,['9.14 - 22.75']
Annual Dividend $,
Annual Dividend %,
Ask,9.75
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,
Bid,9.6
Bid Size,100.0
Closing Price,9.67
Day Change $,-0.23
Day Change %,-0.0232
Day High,10.1
Day Low,9.6
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.45
Ex-dividend Date,No dividend
Historical Volatility,0.528
Last (size),1.0
Last (time),4:00p ET 11/28/22
Market Cap,2.6B
"P/E Ratio (TTM, GAAP)",21.93
Prev Close,9.9
Short Interest,0.19940000000000002
Today's Open,9.88
Volume,2559739.0
Volume 10-day Avg,3112972.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2022-11-30 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.16279069767441867
Growth 1yr High Est,-0.09999999999999998
Growth 1yr Consensus Est,-0.13139534883720932
Growth 2yr Low Est,-0.14389534883720934
Growth 2yr High Est,0.030246913580246837
Growth 2yr Consensus Est,-0.05682421762848125
Growth 5yr Low Est,-0.14389534883720934
Growth 5yr High Est,0.030246913580246837
Growth 5yr Consensus Est,-0.05682421762848125
Growth 5yr Actual/Est,0.7117049617049617
Growth 3yr Historic,0.75
Price/Earnings (TTM),21.92837
Price/Sales (TTM),0.50802
Price/Book (MRQ),1.31832
Price/Cash Flow (TTM),10.36119
5yr Low,9.14
5yr High,31.08
5yr Avg Return,-0.37534999999999996
EPS Growth 5yr,0.36056019999999994
Revenue Growth 5yr,0.0526179
Dividend Growth 5yr,
Short Int Current Month,15969978.0
Short Int Prev Month,17605817.0
Short Int Pct of Float,0.1994099
Days to Cover,5.92342
Float,80.37369
Shares Outstanding,303.5001
Institutions Holding Shares,259.0
FCF Growth 5yr,0.7305528093504382
"Price/Earnings (TTM, GAAP)",21.93
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.41130000000000005
Operating Profit Margin (TTM),0.0414
Net Profit Margin (TTM),0.0177
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.45530000000000004
EPS Growth (TTM),0.4839
Revenue Growth (MRQ),0.0033000000000000004
Revenue Growth (TTM),0.0858
Return On Equity (TTM),0.0538
Return On Assets (TTM),0.0163
Return On Investment (TTM),0.0194
Revenue Per Employee (TTM),207560.0
Total Debt/Total Capital (MRQ),0.42090000000000005
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),0.28
Interest Coverage (MRQ),3.31
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
theStreet since,2022-03-09 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,
ford since,
researchTeam since,
marketEdge opinion since,
