,SMCI
% Below High,0.0197
% Held by Institutions,0.7268000000000001
52-Wk Range,['34.11 - 95.22']
Annual Dividend $,
Annual Dividend %,
Ask,93.38
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.4
Bid,93.15
Bid Size,300.0
Day Change $,-0.53
Day Change %,-0.005600000000000001
Day High,95.22
Day Low,93.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",8.16
Ex-dividend Date,No dividend
Historical Volatility,0.624
Last (size),100.0
Last (time),2:39p ET 11/28/22
Market Cap,4.9B
"P/E Ratio (TTM, GAAP)",11.5
Prev Close,93.87
Price,93.34
Short Interest,0.06309999999999999
Today's Open,93.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,2.7695473251028804
Growth 1yr High Est,3.35483870967742
Growth 1yr Consensus Est,3.0621930173901504
Growth 2yr Low Est,1.2433981166999117
Growth 2yr High Est,1.6325119474313026
Growth 2yr Consensus Est,1.4379550320656072
Growth 5yr Low Est,0.8289320777999412
Growth 5yr High Est,1.0883412982875351
Growth 5yr Consensus Est,0.9586366880437381
Growth 5yr Actual/Est,0.45984027672714844
Growth 3yr Historic,0.29338316641434725
Price/Earnings (TTM),11.50067
Price/Sales (TTM),0.82585
Price/Book (MRQ),3.05293
Price/Cash Flow (TTM),10.39993
5yr Low,8.5
5yr High,94.99
5yr Avg Return,0.3613833333333333
EPS Growth 5yr,0.3267795
Revenue Growth 5yr,0.1589713
Dividend Growth 5yr,
Short Int Current Month,2858646.0
Short Int Prev Month,2800539.0
Short Int Pct of Float,0.06311270000000001
Days to Cover,2.38062
Float,45.85045
Shares Outstanding,52.92289
Institutions Holding Shares,290.0
FCF Growth 5yr,-0.13691845610750297
"Price/Earnings (TTM, GAAP)",11.5
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1678
Operating Profit Margin (TTM),0.08750000000000001
Net Profit Margin (TTM),0.0738
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2915
EPS Growth (TTM),2.9141000000000004
Revenue Growth (MRQ),0.1325
Revenue Growth (TTM),0.5715
Return On Equity (TTM),0.3221
Return On Assets (TTM),0.1551
Return On Investment (TTM),0.2715
Revenue Per Employee (TTM),1305730.0
Total Debt/Total Capital (MRQ),0.1332
Change in Debt/Total Capital Quarter over Quarter,-0.0034000000000000002
Quick Ratio (MRQ),0.85
Interest Coverage (MRQ),55.9
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-11-19 00:00:00
theStreet since,2020-01-15 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-09-02 00:00:00
cfra since,
marketEdge opinion since,
