,CVCO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",7.52,7.14,Valuation,1.0532212885154062
Price/Sales (TTM),0.93,7.33,Valuation,0.12687585266030013
Price/Book (MRQ),2.11,2.07,Valuation,1.0193236714975846
"PEG Ratio (TTM, GAAP)",,0.43,Valuation,
Gross Profit Margin (TTM),0.2602,0.3091,Profitability,0.8417987706243933
Operating Profit Margin (TTM),0.1398,0.1507,Profitability,0.9276708692767087
Net Profit Margin (TTM),0.12689999999999999,0.11320000000000001,Profitability,1.121024734982332
Annual Dividend Yield,,0.016399999999999998,Dividend,
Dividend Change %,,0.2639,Dividend,
"Dividend Growth Rate, 3 Years",,0.1757,Dividend,
EPS Growth (MRQ),0.24489999999999998,-0.0688,Gowth rates,-3.5595930232558137
EPS Growth (TTM),1.4794999999999998,0.16670000000000001,Gowth rates,8.875224955008996
Revenue Growth (MRQ),-0.018600000000000002,0.1173,Gowth rates,-0.1585677749360614
Revenue Growth (TTM),0.6362,0.149,Gowth rates,4.269798657718121
Return On Equity (TTM),0.321,0.38439999999999996,Effectiveness,0.8350676378772114
Return On Assets (TTM),0.23,0.135,Effectiveness,1.7037037037037037
Return On Investment (TTM),0.3084,0.1699,Effectiveness,1.8151854031783403
Revenue Per Employee (TTM),333797.0,1633986.0,Effectiveness,0.20428388003324385
Total Debt/Total Capital (MRQ),0.011899999999999999,0.29309999999999997,Financial strength,0.04060047765267827
Change in Debt/Total Capital Quarter over Quarter,-0.005200000000000001,-0.0005,Financial strength,10.4
Quick Ratio (MRQ),1.91,0.53,Financial strength,3.6037735849056602
Interest Coverage (MRQ),389.29,51.09,Financial strength,7.619690741828146
