,VRSK
% Above Low,0.1377
% Held by Institutions,0.9156
52-Wk Range,['156.05 - 230.80']
Annual Dividend $,1.24
Annual Dividend %,0.0068000000000000005
Ask,178.28
Ask Size,100.0
B/A Ratio,75.0
B/A Size,7500x100
Beta,0.8
Bid,177.17
Bid Size,7500.0
Closing Price,177.54
Day Change $,-5.33
Day Change %,-0.0291
Day High,183.34
Day Low,177.32
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",6.44
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.282
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,27.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",28.4
Prev Close,182.87
Short Interest,0.0115
Today's Open,181.62
Volume,828482.0
Volume 10-day Avg,1169701.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.05242718446601935
Growth 1yr High Est,0.0753295668549907
Growth 1yr Consensus Est,0.06387837566050503
Growth 2yr Low Est,0.00684089850607239
Growth 2yr High Est,0.06743711267443053
Growth 2yr Consensus Est,0.03713900559025146
Growth 5yr Low Est,0.04931822609769526
Growth 5yr High Est,0.08343566000716218
Growth 5yr Consensus Est,0.06637694305242872
Growth 5yr Actual/Est,0.06456377044994593
Growth 3yr Historic,0.05106409001956941
Price/Earnings (TTM),28.39579
Price/Sales (TTM),9.42886
Price/Book (MRQ),14.42016
Price/Cash Flow (TTM),20.42178
5yr Low,90.6
5yr High,231.57
5yr Avg Return,0.13415
EPS Growth 5yr,0.0910835
Revenue Growth 5yr,0.08489179999999999
Dividend Growth 5yr,
Short Int Current Month,1781474.0
Short Int Prev Month,1328163.0
Short Int Pct of Float,0.0114968
Days to Cover,1.57349
Float,154.9794
Shares Outstanding,156.388
Institutions Holding Shares,1124.0
FCF Growth 5yr,0.03198682766674554
"Price/Earnings (TTM, GAAP)",28.4
"PEG Ratio (TTM, GAAP)",2.93
Gross Profit Margin (TTM),0.6576000000000001
Operating Profit Margin (TTM),0.4557
Net Profit Margin (TTM),0.3412
Annual Dividend Yield,0.0068000000000000005
Dividend Change %,0.0741
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.035
EPS Growth (TTM),0.5052000000000001
Revenue Growth (MRQ),-0.0013000000000000002
Revenue Growth (TTM),0.0296
Return On Equity (TTM),0.44
Return On Assets (TTM),0.1414
Return On Investment (TTM),0.19210000000000002
Revenue Per Employee (TTM),323807.0
Total Debt/Total Capital (MRQ),0.6297
Change in Debt/Total Capital Quarter over Quarter,0.0021
Quick Ratio (MRQ),
Interest Coverage (MRQ),8.81
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-25 00:00:00
theStreet since,2012-10-09 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-05-05 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
