,VRSK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",28.4,75.74,Valuation,0.3749669923422234
Price/Sales (TTM),9.43,5.07,Valuation,1.8599605522682443
Price/Book (MRQ),14.42,7.18,Valuation,2.0083565459610027
"PEG Ratio (TTM, GAAP)",2.93,3.68,Valuation,0.7961956521739131
Gross Profit Margin (TTM),0.6576000000000001,0.49210000000000004,Profitability,1.336313757366389
Operating Profit Margin (TTM),0.4557,0.10619999999999999,Profitability,4.290960451977401
Net Profit Margin (TTM),0.3412,0.055,Profitability,6.203636363636364
Annual Dividend Yield,0.0068000000000000005,0.0074,Dividend,0.918918918918919
Dividend Change %,0.0741,0.051100000000000007,Dividend,1.4500978473581212
"Dividend Growth Rate, 3 Years",,0.0489,Dividend,
EPS Growth (MRQ),-0.035,-18.5673,Gowth rates,0.0018850344422721669
EPS Growth (TTM),0.5052000000000001,-0.2057,Gowth rates,-2.45600388915897
Revenue Growth (MRQ),-0.0013000000000000002,0.10880000000000001,Gowth rates,-0.011948529411764707
Revenue Growth (TTM),0.0296,0.11970000000000001,Gowth rates,0.24728487886382622
Return On Equity (TTM),0.44,0.1999,Effectiveness,2.2011005502751377
Return On Assets (TTM),0.1414,0.0565,Effectiveness,2.502654867256637
Return On Investment (TTM),0.19210000000000002,0.0848,Effectiveness,2.2653301886792456
Revenue Per Employee (TTM),323807.0,417216.0,Effectiveness,0.7761135718668507
Total Debt/Total Capital (MRQ),0.6297,0.4147,Financial strength,1.518447070171208
Change in Debt/Total Capital Quarter over Quarter,0.0021,0.0070999999999999995,Financial strength,0.29577464788732394
Quick Ratio (MRQ),,0.09,Financial strength,
Interest Coverage (MRQ),8.81,18.36,Financial strength,0.47984749455337694
