,VRSK
Price/Earnings (TTM),28.39579
Price/Sales (TTM),9.42886
Price/Book (MRQ),14.42016
Price/Cash Flow (TTM),20.42178
5yr Low,90.6
5yr High,231.57
5yr Avg Return,0.13415
EPS Growth 5yr,0.0910835
Revenue Growth 5yr,0.08489179999999999
Dividend Growth 5yr,
Short Int Current Month,1781474.0
Short Int Prev Month,1328163.0
Short Int Pct of Float,0.0114968
Days to Cover,1.57349
Float,154.9794
Shares Outstanding,156.388
Institutions Holding Shares,1124.0
% Held by Institutions,0.915586
FCF Growth 5yr,0.03198682766674554
