,MRVL
% Above Low,0.21760000000000002
% Held by Institutions,0.8347
52-Wk Range,['35.30 - 93.85']
Annual Dividend $,0.24
Annual Dividend %,0.005600000000000001
Ask,42.6
Ask Size,100.0
Ask close,46.13
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,42.0
Bid Size,100.0
Bid close,40.52
Change Since Close,-0.93| |(-2.16%)
Closing Price,42.98
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-10-26 00:00:00
"EPS (TTM, GAAP)",-0.26
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.648
Last (size),22.0
Last (time),1:00p ET 11/25/22
Last Trade,42.05
Market Cap,36.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,42.98
Short Interest,0.0219
Today's Open,
Volume,1918.0
Volume 10-day Avg,10511433.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-01 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,0.3986928104575165
Growth 1yr High Est,0.35057471264367823
Growth 1yr Consensus Est,0.37463376155059736
Growth 2yr Low Est,0.22037444261193573
Growth 2yr High Est,0.35613842015162633
Growth 2yr Consensus Est,0.28825643138178103
Growth 5yr Low Est,0.39313710537944746
Growth 5yr High Est,0.4779720936855547
Growth 5yr Consensus Est,0.4355545995325011
Growth 5yr Actual/Est,0.4402703649622786
Growth 3yr Historic,0.2751152832674572
Price/Earnings (TTM),
Price/Sales (TTM),6.64092
Price/Book (MRQ),2.3593
Price/Cash Flow (TTM),30.51057
5yr Low,14.34
5yr High,93.85
5yr Avg Return,0.23496666666666668
EPS Growth 5yr,
Revenue Growth 5yr,0.1416431
Dividend Growth 5yr,0.0
Short Int Current Month,18569903.0
Short Int Prev Month,18625174.0
Short Int Pct of Float,0.0219102
Days to Cover,1.37662
Float,847.5918
Shares Outstanding,852.6
Institutions Holding Shares,1168.0
FCF Growth 5yr,0.5952529939871712
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5094
Operating Profit Margin (TTM),0.02
Net Profit Margin (TTM),-0.0395
Annual Dividend Yield,0.005600000000000001
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),1.0256
EPS Growth (TTM),0.454
Revenue Growth (MRQ),0.0484
Revenue Growth (TTM),0.5966
Return On Equity (TTM),-0.0144
Return On Assets (TTM),-0.0101
Return On Investment (TTM),-0.011000000000000001
Revenue Per Employee (TTM),824201.0
Total Debt/Total Capital (MRQ),0.2286
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),0.93
Interest Coverage (MRQ),3.21
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-05-28 00:00:00
theStreet since,2022-03-07 00:00:00
cfra since,2022-07-08 00:00:00
ford since,2022-11-18 00:00:00
marketEdge opinion since,
