,KKR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,20.51,Valuation,
Price/Sales (TTM),5.84,12.46,Valuation,0.4686998394863563
Price/Book (MRQ),2.73,4.63,Valuation,0.5896328293736501
"PEG Ratio (TTM, GAAP)",,2.67,Valuation,
Gross Profit Margin (TTM),0.44670000000000004,0.5835,Profitability,0.7655526992287918
Operating Profit Margin (TTM),-0.026400000000000003,0.269,Profitability,-0.09814126394052045
Net Profit Margin (TTM),-0.0191,0.1791,Profitability,-0.10664433277498603
Annual Dividend Yield,0.012,0.0257,Dividend,0.4669260700389105
Dividend Change %,0.0755,0.2049,Dividend,0.36847242557345045
"Dividend Growth Rate, 3 Years",-0.0354,0.1213,Dividend,-0.29183841714756803
EPS Growth (MRQ),0.9124,-0.2356,Gowth rates,-3.872665534804754
EPS Growth (TTM),-1.0747,-0.0768,Gowth rates,13.993489583333334
Revenue Growth (MRQ),3.7211000000000003,0.0931,Gowth rates,39.96885069817401
Revenue Growth (TTM),-0.47759999999999997,0.0447,Gowth rates,-10.684563758389261
Return On Equity (TTM),-0.0302,0.1783,Effectiveness,-0.16937745372966911
Return On Assets (TTM),-0.0005,0.0492,Effectiveness,-0.01016260162601626
Return On Investment (TTM),-0.0007000000000000001,0.1008,Effectiveness,-0.006944444444444446
Revenue Per Employee (TTM),2359360.0,1125238.0,Effectiveness,2.096765306539594
Total Debt/Total Capital (MRQ),0.436,0.5241,Financial strength,0.8319023087197099
Change in Debt/Total Capital Quarter over Quarter,-0.0003,0.0008,Financial strength,-0.37499999999999994
Quick Ratio (MRQ),,0.0,Financial strength,
Interest Coverage (MRQ),,21.92,Financial strength,
