,KKR
% Above Low,0.2413
% Held by Institutions,0.5335
52-Wk Range,['41.77 - 78.40']
Annual Dividend $,0.62
Annual Dividend %,0.012
Ask,58.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.6
Bid,50.62
Bid Size,100.0
Closing Price,51.85
Day Change $,-0.23
Day Change %,-0.0044
Day High,52.15
Day Low,51.37
Dividend Pay Date,2022-11-29 00:00:00
"EPS (TTM, GAAP)",-0.66
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.48200000000000004
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,44.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,52.08
Short Interest,0.0258
Today's Open,51.73
Volume,783368.0
Volume 10-day Avg,3037237.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,1.3522012578616351
Growth 1yr High Est,1.3333333333333335
Growth 1yr Consensus Est,1.3427672955974843
Growth 2yr Low Est,0.6573840513907105
Growth 2yr High Est,0.7506265664160402
Growth 2yr Consensus Est,0.7040053089033753
Growth 5yr Low Est,0.32869202569535527
Growth 5yr High Est,0.3753132832080201
Growth 5yr Consensus Est,0.3520026544516877
Growth 5yr Actual/Est,0.3815876762825541
Growth 3yr Historic,0.39006257148624107
Price/Earnings (TTM),
Price/Sales (TTM),5.84436
Price/Book (MRQ),2.72921
Price/Cash Flow (TTM),
5yr Low,15.55
5yr High,83.9
5yr Avg Return,0.23803333333333332
EPS Growth 5yr,0.6473439000000001
Revenue Growth 5yr,0.5042023
Dividend Growth 5yr,-0.0229001
Short Int Current Month,19070692.0
Short Int Prev Month,14659503.0
Short Int Pct of Float,0.025773
Days to Cover,5.00398
Float,742.7087
Shares Outstanding,861.1119
Institutions Holding Shares,955.0
FCF Growth 5yr,-1.3736596946436568
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.44670000000000004
Operating Profit Margin (TTM),-0.026400000000000003
Net Profit Margin (TTM),-0.0191
Annual Dividend Yield,0.012
Dividend Change %,0.0755
"Dividend Growth Rate, 3 Years",-0.0354
EPS Growth (MRQ),0.9124
EPS Growth (TTM),-1.0747
Revenue Growth (MRQ),3.7211000000000003
Revenue Growth (TTM),-0.47759999999999997
Return On Equity (TTM),-0.0302
Return On Assets (TTM),-0.0005
Return On Investment (TTM),-0.0007000000000000001
Revenue Per Employee (TTM),2359360.0
Total Debt/Total Capital (MRQ),0.436
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
theStreet since,2022-05-04 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-05-12 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
