,KKR
Price/Earnings (TTM),
Price/Sales (TTM),5.84436
Price/Book (MRQ),2.72921
Price/Cash Flow (TTM),
5yr Low,15.55
5yr High,83.9
5yr Avg Return,0.23803333333333332
EPS Growth 5yr,0.6473439000000001
Revenue Growth 5yr,0.5042023
Dividend Growth 5yr,-0.0229001
Short Int Current Month,19070692.0
Short Int Prev Month,14659503.0
Short Int Pct of Float,0.025773
Days to Cover,5.00398
Float,742.7087
Shares Outstanding,861.1119
Institutions Holding Shares,955.0
% Held by Institutions,0.533521
FCF Growth 5yr,-1.3736596946436568
