,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report,Q3 2021
high,21.41,28.73,30.18,40.71,83.9,75.19,,,,,,
low,19.12,18.3,18.58,15.55,37.49,41.77,,,,,,
change,0.0739,-0.0679,0.5106,0.37670000000000003,0.8386,-0.3037,,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet,
Cash and Short Term Invs,,,,,,,10092.0,12915.0,11851.0,11059.0,Balance Sheet,
"Trade Accts Recvble, Net",,,,,,,225.0,230.0,194.0,,Balance Sheet,
Other Receivables,,,,,,,365.0,29.0,5.0,,Balance Sheet,
"Total Receivables, Net",,,,,,,590.0,259.0,199.0,,Balance Sheet,
Prepaid Expenses,,,,,,,29.0,37.0,51.0,,Balance Sheet,
Total Current Assets,,,,,,,,,,,Balance Sheet,
Prop./Plant/Equip. - Gross,,,,,,,962.0,973.0,996.0,,Balance Sheet,
Accumulated Depreciation,,,,,,,-142.0,-154.0,-167.0,,Balance Sheet,
Prop./Plant/Equip. - Net,,,,,,,1209.0,1211.0,1260.0,,Balance Sheet,
"Goodwill, Net",,,,,,,84.0,84.0,577.0,,Balance Sheet,
Intangibles - Net,,,,,,,1407.0,1481.0,3238.0,,Balance Sheet,
LT Invt. - Affiliate Comp.,,,,,,,23301.0,23292.0,23369.0,,Balance Sheet,
LT Investments - Other,,,,,,,190462.0,189555.0,185882.0,208493.0,Balance Sheet,
Long Term Investments,,,,,,,213763.0,212848.0,209251.0,208493.0,Balance Sheet,
Deferred Charges,,,,,,,18.0,16.0,18.0,,Balance Sheet,
Def. Inc. Tax - LT Asset,,,,,,,86.0,96.0,99.0,,Balance Sheet,
Restricted Cash - LT,,,,,,,435.0,627.0,521.0,,Balance Sheet,
Other Assets,,,,,,,36572.0,36717.0,39011.0,46697.0,Balance Sheet,
"Other Assets, Total",,,,,,,36572.0,36717.0,39011.0,46697.0,Balance Sheet,
Total Assets,,,,,,,264285.0,266291.0,266075.0,266249.0,Balance Sheet,
Accounts Payable,,,,,,,3650.0,3138.0,2475.0,,Balance Sheet,
Payable/Accrued,,,,,,,188.0,170.0,210.0,,Balance Sheet,
Accrued Expenses,,,,,,,3868.0,5439.0,6726.0,,Balance Sheet,
Notes Payable/ST Debt,,,,,,,249.0,136.0,86.0,,Balance Sheet,
Income Taxes Payable,,,,,,,43.0,105.0,53.0,,Balance Sheet,
Other Payables,,,,,,,23923.0,22239.0,22534.0,,Balance Sheet,
"Other Curr. Lblts, Total",,,,,,,23966.0,22344.0,22587.0,,Balance Sheet,
Total Current Liabilities,,,,,,,,,,,Balance Sheet,
Total Long Term Debt,,,,,,,38578.0,38143.0,39153.0,40179.0,Balance Sheet,
Total Debt,,,,,,,38827.0,38279.0,39239.0,40179.0,Balance Sheet,
Deferred Income Tax,,,,,,,979.0,847.0,234.0,,Balance Sheet,
Minority Interest,,,,,,,40557.0,41584.0,33746.0,34532.0,Balance Sheet,
"Other Liabilities, Total",,,,,,,134669.0,138775.0,141786.0,174087.0,Balance Sheet,
Total Liabilities,,,,,,,246703.0,250577.0,247002.0,248798.0,Balance Sheet,
Redeemable Preferred Stock,,,,,,,1116.0,1116.0,1116.0,1116.0,Balance Sheet,
"Pref. Stock-Non Rdmbl, Net",,,,,,,3.0,3.0,0.0,,Balance Sheet,
Common Stock,,,,,,,6.0,6.0,9.0,16335.0,Balance Sheet,
