,MET
% Below High,0.0053
% Held by Institutions,0.7236
52-Wk Range,['57.05 - 77.36']
Annual Dividend $,2.0
Annual Dividend %,0.026000000000000002
Ask,76.91
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,75.83
Bid Size,100.0
Change Since Close,-0.82| |(-1.07%)
Closing Price,76.95
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-14 00:00:00
"EPS (TTM, GAAP)",2.66
Ex-dividend,2022-11-07 00:00:00
Ex-dividend Date,11/07/22
Historical Volatility,0.261
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,76.13
Market Cap,60.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.92
Prev Close,76.95
Short Interest,0.0172
Today's Open,
Volume,1.0
Volume 10-day Avg,3897937.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.2249240121580547
Growth 2yr High Est,0.17768595041322333
Growth 2yr Consensus Est,0.201304981285639
Growth 5yr Low Est,0.2249240121580547
Growth 5yr High Est,0.17768595041322333
Growth 5yr Consensus Est,0.201304981285639
Growth 5yr Actual/Est,0.10998793395238254
Growth 3yr Historic,0.12339322911131423
Price/Earnings (TTM),28.91683
Price/Sales (TTM),0.81953
Price/Book (MRQ),2.41609
Price/Cash Flow (TTM),
5yr Low,22.85
5yr High,77.1
5yr Avg Return,0.08068333333333333
EPS Growth 5yr,0.18401769999999998
Revenue Growth 5yr,0.0314177
Dividend Growth 5yr,0.038232499999999996
Short Int Current Month,11357649.0
Short Int Prev Month,11102074.0
Short Int Pct of Float,0.0172323
Days to Cover,2.52414
Float,659.3056
Shares Outstanding,784.6062
Institutions Holding Shares,1566.0
FCF Growth 5yr,
Total Debt/Total Capital (MRQ),0.41350000000000003
Change in Debt/Total Capital Quarter over Quarter,0.002
Quick Ratio (MRQ),
Interest Coverage (MRQ),1.09
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.0455
Net Profit Margin (TTM),0.0329
Annual Dividend Yield,0.026000000000000002
Dividend Change %,0.044000000000000004
"Dividend Growth Rate, 3 Years",0.046
EPS Growth (MRQ),2.2689
EPS Growth (TTM),-0.5605
Revenue Growth (MRQ),0.4316
Revenue Growth (TTM),0.0463
Return On Equity (TTM),0.0471
Return On Assets (TTM),0.0034000000000000002
Return On Investment (TTM),
Revenue Per Employee (TTM),1713279.0
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-10-14 00:00:00
theStreet since,2022-09-16 00:00:00
cfra since,2019-07-19 00:00:00
ford since,2022-10-14 00:00:00
marketEdge opinion since,
