,MET,Industry,Type,Ratio to Industry
Total Debt/Total Capital (MRQ),0.41350000000000003,0.38939999999999997,Valuation,1.0618900873138164
Change in Debt/Total Capital Quarter over Quarter,0.002,0.0019,Valuation,1.0526315789473684
Quick Ratio (MRQ),,,Valuation,
Interest Coverage (MRQ),1.09,10.36,Valuation,0.10521235521235522
Gross Profit Margin (TTM),,0.0207,Profitability,
Operating Profit Margin (TTM),0.0455,0.1342,Profitability,0.3390461997019374
Net Profit Margin (TTM),0.0329,0.1081,Profitability,0.3043478260869565
Annual Dividend Yield,0.026000000000000002,0.0167,Dividend,1.5568862275449105
Dividend Change %,0.044000000000000004,-0.004,Dividend,-11.0
"Dividend Growth Rate, 3 Years",0.046,0.0233,Dividend,1.9742489270386265
EPS Growth (MRQ),2.2689,-0.11750000000000001,Gowth rates,-19.309787234042552
EPS Growth (TTM),-0.5605,-0.0281,Gowth rates,19.94661921708185
Revenue Growth (MRQ),0.4316,0.0922,Gowth rates,4.68112798264642
Revenue Growth (TTM),0.0463,0.0431,Gowth rates,1.074245939675174
Return On Equity (TTM),0.0471,0.35479999999999995,Effectiveness,0.13275084554678696
Return On Assets (TTM),0.0034000000000000002,0.031200000000000002,Effectiveness,0.10897435897435898
Return On Investment (TTM),,0.032,Effectiveness,
Revenue Per Employee (TTM),1713279.0,1270541.0,Effectiveness,1.348464158181436
Total Debt/Total Capital (MRQ),0.41350000000000003,0.38939999999999997,Financial strength,1.0618900873138164
Change in Debt/Total Capital Quarter over Quarter,0.002,0.0019,Financial strength,1.0526315789473684
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),1.09,10.36,Financial strength,0.10521235521235522
