,PTLO
% Above Low,0.363
% Held by Institutions,0.5771000000000001
52-Wk Range,['14.84 - 43.62']
Annual Dividend $,
Annual Dividend %,
Ask,20.23
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,20.2
Bid Size,200.0
Day Change $,-0.39
Day Change %,-0.0189
Day High,20.77
Day Low,20.19
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.35
Ex-dividend Date,No dividend
Historical Volatility,0.639
Last (size),310.0
Last (time),11:49a ET 11/28/22
Market Cap,976.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,20.61
Price,20.22
Short Interest,0.16
Today's Open,20.64
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.052631578947368474
Growth 2yr High Est,1.4090909090909092
Growth 2yr Consensus Est,0.6782296650717703
Growth 5yr Low Est,-0.052631578947368474
Growth 5yr High Est,1.4090909090909092
Growth 5yr Consensus Est,0.6782296650717703
Growth 5yr Actual/Est,-0.5357142857142857
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),2.58514
Price/Book (MRQ),6.63839
Price/Cash Flow (TTM),
5yr Low,14.84
5yr High,57.73
5yr Avg Return,-0.014049999999999976
Short Int Current Month,5968021.0
Short Int Prev Month,5594941.0
Short Int Pct of Float,0.16003209999999998
Days to Cover,5.02852
Float,38.81337
Shares Outstanding,72.13986
Institutions Holding Shares,182.0
FCF Growth 5yr,-1.706202055982093
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.658
Operating Profit Margin (TTM),0.0088
Net Profit Margin (TTM),-0.0336
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.71
EPS Growth (TTM),
Revenue Growth (MRQ),0.0033000000000000004
Revenue Growth (TTM),
Return On Equity (TTM),-0.0636
Return On Assets (TTM),-0.0194
Return On Investment (TTM),-0.0234
Revenue Per Employee (TTM),77168.0
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-22 00:00:00
theStreet since,2022-11-22 00:00:00
ford since,2022-09-16 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
