,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,57.73,40.47,,,,,
low,25.72,14.84,,,,,
change,0.44380000000000003,-0.4719,,,,,
Date,,,2021-12-26 00:00:00,2022-03-27 00:00:00,2022-06-26 00:00:00,2022-09-26 00:00:00,Balance Sheet
Cash and Short Term Invs,,,39.0,32.0,50.0,47.0,Balance Sheet
"Total Receivables, Net",,,8.0,5.0,9.0,8.0,Balance Sheet
Invent. - Finished Goods,,,1.0,1.0,1.0,1.0,Balance Sheet
Invent. - Work In Progress,,,0.0,0.0,0.0,0.0,Balance Sheet
Invent. - Raw Materials,,,4.0,3.0,4.0,4.0,Balance Sheet
Inventories - Other,,,0.0,1.0,1.0,1.0,Balance Sheet
Total Inventory,,,6.0,5.0,6.0,6.0,Balance Sheet
"Other Curr. Assets, Total",,,6.0,6.0,5.0,4.0,Balance Sheet
Total Current Assets,,,59.0,49.0,69.0,65.0,Balance Sheet
Buildings,,,139.0,142.0,147.0,148.0,Balance Sheet
Land/Improvements,,,15.0,16.0,16.0,16.0,Balance Sheet
Machinery/Equipment,,,2.0,2.0,2.0,2.0,Balance Sheet
Construction in Progress,,,8.0,9.0,8.0,29.0,Balance Sheet
Other Prop./Plant/Equip.,,,115.0,117.0,119.0,119.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,280.0,286.0,292.0,314.0,Balance Sheet
Accumulated Depreciation,,,-89.0,-94.0,-98.0,-102.0,Balance Sheet
Prop./Plant/Equip. - Net,,,191.0,192.0,194.0,212.0,Balance Sheet
"Goodwill, Net",,,394.0,394.0,394.0,394.0,Balance Sheet
Intangibles - Gross,,,324.0,283.0,258.0,257.0,Balance Sheet
Accum. Intangible Amort.,,,-64.0,-24.0,0.0,0.0,Balance Sheet
Intangibles - Net,,,260.0,259.0,258.0,257.0,Balance Sheet
Long Term Investments,,,16.0,16.0,16.0,16.0,Balance Sheet
Other Long Term Assets,,,5.0,5.0,4.0,4.0,Balance Sheet
Total Assets,,,1000.0,989.0,1008.0,1064.0,Balance Sheet
Accounts Payable,,,27.0,22.0,20.0,27.0,Balance Sheet
Accrued Expenses,,,28.0,21.0,25.0,23.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,3.0,3.0,3.0,3.0,Balance Sheet
Customer Advances,,,7.0,5.0,5.0,4.0,Balance Sheet
Income Taxes Payable,,,2.0,,,,Balance Sheet
"Other Curr. Lblts, Total",,,9.0,5.0,5.0,4.0,Balance Sheet
Total Current Liabilities,,,67.0,52.0,53.0,58.0,Balance Sheet
Total Long Term Debt,,,316.0,316.0,315.0,315.0,Balance Sheet
Total Debt,,,319.0,319.0,319.0,319.0,Balance Sheet
Minority Interest,,,252.0,254.0,261.0,221.0,Balance Sheet
"Other Liabilities, Total",,,193.0,194.0,195.0,247.0,Balance Sheet
Total Liabilities,,,828.0,816.0,825.0,841.0,Balance Sheet
Redeemable Preferred Stock,,,0.0,,0.0,0.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,187.0,189.0,193.0,232.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-16.0,-16.0,-11.0,-9.0,Balance Sheet
Total Equity,,,171.0,173.0,183.0,223.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,1000.0,989.0,1008.0,1064.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,36.0,36.0,36.0,42.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,36.0,36.0,36.0,30.0,Balance Sheet
Ttl Comm. Shares Outs.,,,71.0,71.0,72.0,72.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-26 00:00:00,2022-03-27 00:00:00,2022-06-26 00:00:00,2022-09-26 00:00:00,Income Statement
Total Revenue,,,138908.0,134482.0,150623.0,151121.0,Income Statement
"Cost of Revenue, Total",,,45299.0,46266.0,51774.0,53374.0,Income Statement
Selling/Gen/Admin Expense,,,28757.0,20007.0,19293.0,22336.0,Income Statement
