,CAKE
% Below High,0.174
% Held by Institutions,0.8894
52-Wk Range,['26.05 - 44.65']
Annual Dividend $,1.08
Annual Dividend %,0.029300000000000003
Ask,38.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.4
Bid,35.25
Bid Size,200.0
Closing Price,36.88
Day Change $,0.44
Day Change %,0.0121
Day High,37.15
Day Low,36.3
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",0.97
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.521
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,1.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",37.83
Prev Close,36.44
Short Interest,0.1668
Today's Open,36.66
Volume,379903.0
Volume 10-day Avg,900428.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.30805687203791465
Growth 1yr High Est,-0.1836734693877552
Growth 1yr Consensus Est,-0.24586517071283492
Growth 2yr Low Est,0.01377978315912487
Growth 2yr High Est,0.2781632653061224
Growth 2yr Consensus Est,0.14597152423262363
Growth 5yr Low Est,-0.03705542092043759
Growth 5yr High Est,0.11848238171673164
Growth 5yr Consensus Est,0.040713480398147026
Growth 5yr Actual/Est,-0.8417850253315742
Growth 3yr Historic,-1.0001028568489805
Price/Earnings (TTM),37.83146
Price/Sales (TTM),0.59503
Price/Book (MRQ),5.89066
Price/Cash Flow (TTM),13.72752
5yr Low,14.52
5yr High,65.81
5yr Avg Return,-0.031166666666666665
EPS Growth 5yr,-0.1852214
Revenue Growth 5yr,0.051663600000000004
Dividend Growth 5yr,
Short Int Current Month,7959357.0
Short Int Prev Month,6872029.0
Short Int Pct of Float,0.1668056
Days to Cover,5.91231
Float,47.73881
Shares Outstanding,51.42014
Institutions Holding Shares,300.0
FCF Growth 5yr,2.357589261313294
"Price/Earnings (TTM, GAAP)",37.83
"PEG Ratio (TTM, GAAP)",2.08
Gross Profit Margin (TTM),0.7586
Operating Profit Margin (TTM),0.0173
Net Profit Margin (TTM),0.0152
Annual Dividend Yield,0.029300000000000003
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.0959
EPS Growth (TTM),15.565
Revenue Growth (MRQ),-0.0584
Revenue Growth (TTM),0.17800000000000002
Return On Equity (TTM),0.1542
Return On Assets (TTM),0.0178
Return On Investment (TTM),0.0226
Revenue Per Employee (TTM),69586.0
Total Debt/Total Capital (MRQ),0.5910000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),0.42
Interest Coverage (MRQ),-0.85
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-04 00:00:00
cfra since,2021-12-29 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2019-05-30 00:00:00
