,CAKE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",37.83,114.03,Valuation,0.331754801368061
Price/Sales (TTM),0.6,5.62,Valuation,0.10676156583629892
Price/Book (MRQ),5.89,8.49,Valuation,0.6937573616018845
"PEG Ratio (TTM, GAAP)",2.08,0.53,Valuation,3.9245283018867925
Gross Profit Margin (TTM),0.7586,0.4054,Profitability,1.8712382831771093
Operating Profit Margin (TTM),0.0173,0.163,Profitability,0.10613496932515337
Net Profit Margin (TTM),0.0152,0.0779,Profitability,0.1951219512195122
Annual Dividend Yield,0.029300000000000003,0.011200000000000002,Dividend,2.6160714285714284
Dividend Change %,,0.056100000000000004,Dividend,
"Dividend Growth Rate, 3 Years",,0.031000000000000003,Dividend,
EPS Growth (MRQ),-1.0959,0.3309,Gowth rates,-3.3118766999093383
EPS Growth (TTM),15.565,2.1359,Gowth rates,7.287326185682851
Revenue Growth (MRQ),-0.0584,0.38439999999999996,Gowth rates,-0.1519250780437045
Revenue Growth (TTM),0.17800000000000002,0.7695000000000001,Gowth rates,0.2313190383365822
Return On Equity (TTM),0.1542,0.19090000000000001,Effectiveness,0.8077527501309586
Return On Assets (TTM),0.0178,0.0758,Effectiveness,0.23482849604221634
Return On Investment (TTM),0.0226,0.1005,Effectiveness,0.22487562189054724
Revenue Per Employee (TTM),69586.0,285753.0,Effectiveness,0.24351800331055143
Total Debt/Total Capital (MRQ),0.5910000000000001,1.1596,Financial strength,0.5096585029320456
Change in Debt/Total Capital Quarter over Quarter,0.0,0.002,Financial strength,0.0
Quick Ratio (MRQ),0.42,0.81,Financial strength,0.5185185185185185
Interest Coverage (MRQ),-0.85,40.22,Financial strength,-0.021133764296369966
