,HY
% Above Low,0.4364
% Held by Institutions,0.5488000000000001
52-Wk Range,['20.99 - 45.96']
Annual Dividend $,1.29
Annual Dividend %,0.042800000000000005
Ask,32.5
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.2
Bid,12.18
Bid Size,200.0
Closing Price,30.15
Day Change $,-0.78
Day Change %,-0.0252
Day High,30.88
Day Low,30.13
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",-10.97
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.488
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,511.9M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,30.93
Short Interest,0.024
Today's Open,30.88
Volume,15676.0
Volume 10-day Avg,36733.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.343137254901961
Growth 2yr High Est,-1.4223107569721116
Growth 2yr Consensus Est,-1.3827240059370363
Growth 5yr Low Est,-1.343137254901961
Growth 5yr High Est,-1.4223107569721116
Growth 5yr Consensus Est,-1.3827240059370363
Growth 5yr Actual/Est,-1.5908962542492755
Growth 3yr Historic,-1.1179813401187446
Price/Earnings (TTM),
Price/Sales (TTM),0.15052
Price/Book (MRQ),4.47723
Price/Cash Flow (TTM),
5yr Low,20.99
5yr High,102.17
5yr Avg Return,-0.1516
EPS Growth 5yr,
Revenue Growth 5yr,0.0366026
Dividend Growth 5yr,0.0189279
Short Int Current Month,228391.0
Short Int Prev Month,272502.0
Short Int Pct of Float,0.0240447
Days to Cover,4.84074
Float,9.6557
Shares Outstanding,16.93851
Institutions Holding Shares,144.0
FCF Growth 5yr,-1.4794795254873003
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1034
Operating Profit Margin (TTM),-0.0489
Net Profit Margin (TTM),-0.057300000000000004
Annual Dividend Yield,0.042800000000000005
Dividend Change %,0.0118
"Dividend Growth Rate, 3 Years",0.013999999999999999
EPS Growth (MRQ),-0.9212
EPS Growth (TTM),-2.2612
Revenue Growth (MRQ),-0.0618
Revenue Growth (TTM),0.1441
Return On Equity (TTM),-0.627
Return On Assets (TTM),-0.0985
Return On Investment (TTM),-0.24670000000000003
Revenue Per Employee (TTM),418864.0
Total Debt/Total Capital (MRQ),0.8012
Change in Debt/Total Capital Quarter over Quarter,0.0032
Quick Ratio (MRQ),0.46
Interest Coverage (MRQ),-4.61
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
theStreet since,2021-11-08 00:00:00
researchTeam since,2021-04-12 00:00:00
ford since,2022-08-05 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
