,DBRG
% Above Low,0.3699
% Held by Institutions,0.8828
52-Wk Range,['11.22 - 34.20']
Annual Dividend $,0.04
Annual Dividend %,0.0026
Ask,25.0
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.9
Bid,9.99
Bid Size,200.0
Closing Price,15.37
Day Change $,0.52
Day Change %,0.035
Day High,15.42
Day Low,14.76
Dividend Pay Date,2023-01-17 00:00:00
"EPS (TTM, GAAP)",-1.67
Ex-dividend,2022-12-29 00:00:00
Ex-dividend Date,12/29/22
Historical Volatility,0.547
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,2.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,14.85
Short Interest,0.0512
Today's Open,14.76
Volume,613561.0
Volume 10-day Avg,1681694.0
Volume Past Day,(Light)
Price/Earnings (TTM),
Price/Sales (TTM),2.2355
Price/Book (MRQ),2.93511
Price/Cash Flow (TTM),27.49352
5yr Low,5.32
5yr High,49.36
5yr Avg Return,-0.07165
EPS Growth 5yr,
Revenue Growth 5yr,0.028584000000000002
Dividend Growth 5yr,
Short Int Current Month,7820816.0
Short Int Prev Month,8788070.0
Short Int Pct of Float,0.0512172
Days to Cover,4.04374
Float,152.7052
Shares Outstanding,159.8953
Institutions Holding Shares,326.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6355
Operating Profit Margin (TTM),-0.3879
Net Profit Margin (TTM),-0.37979999999999997
Annual Dividend Yield,0.0026000000000000003
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.9637000000000001
EPS Growth (TTM),-0.0703
Revenue Growth (MRQ),0.024900000000000002
Revenue Growth (TTM),0.2704
Return On Equity (TTM),-0.2458
Return On Assets (TTM),-0.030699999999999998
Return On Investment (TTM),-0.0458
Revenue Per Employee (TTM),4397392.0
Total Debt/Total Capital (MRQ),0.5373
Change in Debt/Total Capital Quarter over Quarter,0.005200000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2021-06-25 00:00:00
ford since,2021-11-12 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2018-03-15 00:00:00
marketEdge opinion since,
