,EXC
% Above Low,0.1388
% Held by Institutions,0.8251000000000001
52-Wk Range,['35.19 - 50.71']
Annual Dividend $,1.35
Annual Dividend %,0.0337
Ask,40.11
Ask Size,900.0
B/A Ratio,0.1111111111111111
B/A Size,100x900
Beta,0.5
Bid,40.0
Bid Size,100.0
Closing Price,40.07
Day Change $,0.2
Day Change %,0.005
Day High,40.27
Day Low,39.94
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",2.04
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.669
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,39.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",19.6
Prev Close,39.87
Short Interest,0.0137
Today's Open,39.98
Volume,3381201.0
Volume 10-day Avg,6501378.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.16666666666666674
Growth 1yr High Est,-0.2400000000000001
Growth 1yr Consensus Est,-0.20333333333333342
Growth 2yr Low Est,-0.06555555555555559
Growth 2yr High Est,-0.09807017543859647
Growth 2yr Consensus Est,-0.08181286549707603
Growth 5yr Low Est,-0.05768665756360497
Growth 5yr High Est,-0.061495530757272904
Growth 5yr Consensus Est,-0.05959109416043894
Growth 5yr Actual/Est,-0.06963934378938516
Growth 3yr Historic,-0.031055900621118043
Price/Earnings (TTM),19.60276
Price/Sales (TTM),1.65617
Price/Book (MRQ),1.62027
Price/Cash Flow (TTM),6.72168
5yr Low,29.28
5yr High,58.21
5yr Avg Return,0.014599999999999997
EPS Growth 5yr,0.0755866
Revenue Growth 5yr,0.0299162
Dividend Growth 5yr,0.0389362
Short Int Current Month,13626663.0
Short Int Prev Month,13418050.0
Short Int Pct of Float,0.013747
Days to Cover,1.43504
Float,991.6302
Shares Outstanding,993.742
Institutions Holding Shares,1353.0
FCF Growth 5yr,0.9409859965386252
"Price/Earnings (TTM, GAAP)",19.6
"PEG Ratio (TTM, GAAP)",3.15
Gross Profit Margin (TTM),0.35840000000000005
Operating Profit Margin (TTM),0.1341
Net Profit Margin (TTM),0.08380000000000001
Annual Dividend Yield,0.0337
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.035
EPS Growth (MRQ),0.4435
EPS Growth (TTM),-0.13460000000000003
Revenue Growth (MRQ),0.14300000000000002
Revenue Growth (TTM),-0.0636
Return On Equity (TTM),0.0689
Return On Assets (TTM),0.0178
Return On Investment (TTM),0.02
Revenue Per Employee (TTM),762834.0
Total Debt/Total Capital (MRQ),0.6113000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0032
Quick Ratio (MRQ),0.72
Interest Coverage (MRQ),2.86
theStreet,rating-box
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
theStreet since,2021-08-31 00:00:00
researchTeam since,2022-11-04 00:00:00
cfra since,2022-08-04 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
