,TDW
% Below High,0.2036
% Held by Institutions,0.8386
52-Wk Range,['9.75 - 36.50']
Annual Dividend $,
Annual Dividend %,
Ask,30.96
Ask Size,100.0
B/A Ratio,35.0
B/A Size,3500x100
Beta,1.5
Bid,28.6
Bid Size,3500.0
Change Since Close,0.00| |(0.00%)
Closing Price,29.07
Day Change $,-1.17
Day Change %,-0.0387
Day High,30.05
Day Low,28.61
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.72
Ex-dividend Date,No dividend
Historical Volatility,0.61
Last (size),329.0
Last (time),4:10p ET 11/28/22
Last Trade,0.0
Market Cap,1.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,30.24
Short Interest,0.0464
Today's Open,29.23
Volume,497834.0
Volume 10-day Avg,618954.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-0.7312252964426877
Growth 1yr High Est,-0.7312252964426877
Growth 1yr Consensus Est,-0.7312252964426877
Growth 2yr Low Est,-1.2553185305742849
Growth 2yr High Est,-2.3435538246919316
Growth 2yr Consensus Est,-1.7994361776331083
Growth 5yr Low Est,-0.6276592652871424
Growth 5yr High Est,-1.1717769123459658
Growth 5yr Consensus Est,-0.8997180888165541
Growth 5yr Actual/Est,-0.8619532168695698
Growth 3yr Historic,0.03557079273427166
Price/Earnings (TTM),
Price/Sales (TTM),2.69721
Price/Book (MRQ),1.66067
Price/Cash Flow (TTM),32.40985
5yr Low,4.09
5yr High,36.5
5yr Avg Return,0.19265000000000002
Short Int Current Month,2306758.0
Short Int Prev Month,2344241.0
Short Int Pct of Float,0.046350499999999996
Days to Cover,2.32801
Float,49.76776
Shares Outstanding,50.49356
Institutions Holding Shares,188.0
FCF Growth 5yr,-0.5610832923991408
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3735
Operating Profit Margin (TTM),-0.040999999999999995
Net Profit Margin (TTM),-0.1245
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.1706999999999999
EPS Growth (TTM),0.41619999999999996
Revenue Growth (MRQ),0.1732
Revenue Growth (TTM),0.5826
Return On Equity (TTM),-0.08900000000000001
Return On Assets (TTM),-0.058600000000000006
Return On Investment (TTM),-0.0734
Revenue Per Employee (TTM),128662.0
Total Debt/Total Capital (MRQ),0.166
Change in Debt/Total Capital Quarter over Quarter,-0.0005
Quick Ratio (MRQ),1.77
Interest Coverage (MRQ),2.57
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-04-04 00:00:00
ford since,2021-10-29 00:00:00
cfra since,
marketEdge opinion since,
