,TDW,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,669.05,Valuation,
Price/Sales (TTM),2.7,2.16,Valuation,1.25
Price/Book (MRQ),1.66,3.21,Valuation,0.5171339563862928
"PEG Ratio (TTM, GAAP)",,45.77,Valuation,
Gross Profit Margin (TTM),0.3735,0.1895,Profitability,1.970976253298153
Operating Profit Margin (TTM),-0.040999999999999995,0.0622,Profitability,-0.6591639871382636
Net Profit Margin (TTM),-0.1245,0.011899999999999999,Profitability,-10.46218487394958
Annual Dividend Yield,,0.0131,Dividend,
Dividend Change %,,-0.2443,Dividend,
"Dividend Growth Rate, 3 Years",,-0.21420000000000003,Dividend,
EPS Growth (MRQ),1.1706999999999999,0.659,Gowth rates,1.7764795144157812
EPS Growth (TTM),0.41619999999999996,-0.1462,Gowth rates,-2.846785225718194
Revenue Growth (MRQ),0.1732,0.3728,Gowth rates,0.46459227467811154
Revenue Growth (TTM),0.5826,0.2954,Gowth rates,1.972241029113067
Return On Equity (TTM),-0.08900000000000001,0.0775,Effectiveness,-1.1483870967741936
Return On Assets (TTM),-0.058600000000000006,0.0348,Effectiveness,-1.6839080459770117
Return On Investment (TTM),-0.0734,0.1063,Effectiveness,-0.6904985888993416
Revenue Per Employee (TTM),128662.0,673709.0,Effectiveness,0.19097562894365372
Total Debt/Total Capital (MRQ),0.166,0.3983,Financial strength,0.41677127793120766
Change in Debt/Total Capital Quarter over Quarter,-0.0005,0.0006,Financial strength,-0.8333333333333334
Quick Ratio (MRQ),1.77,1.2,Financial strength,1.475
Interest Coverage (MRQ),2.57,15.83,Financial strength,0.16234996841440302
