,SSNC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",20.05,53.11,Valuation,0.37751835812464696
Price/Sales (TTM),2.52,19.35,Valuation,0.13023255813953488
Price/Book (MRQ),2.31,19.03,Valuation,0.12138728323699421
"PEG Ratio (TTM, GAAP)",,3.41,Valuation,
Gross Profit Margin (TTM),0.47700000000000004,0.44520000000000004,Profitability,1.0714285714285714
Operating Profit Margin (TTM),0.21960000000000002,0.3027,Profitability,0.7254707631318137
Net Profit Margin (TTM),0.1322,0.23600000000000002,Profitability,0.5601694915254237
Annual Dividend Yield,0.015300000000000001,0.010400000000000001,Dividend,1.471153846153846
Dividend Change %,0.679,0.0818,Dividend,8.30073349633252
"Dividend Growth Rate, 3 Years",0.3136,0.1223,Dividend,2.5641864268192966
EPS Growth (MRQ),0.4633,-3.5569,Gowth rates,-0.13025387275436476
EPS Growth (TTM),-0.0625,0.15560000000000002,Gowth rates,-0.4016709511568123
Revenue Growth (MRQ),-0.0058,0.16460000000000002,Gowth rates,-0.03523693803159173
Revenue Growth (TTM),0.0562,0.2273,Gowth rates,0.24725032996040475
Return On Equity (TTM),0.1198,0.5459,Effectiveness,0.21945411247481222
Return On Assets (TTM),0.0414,0.1131,Effectiveness,0.36604774535809015
Return On Investment (TTM),0.050300000000000004,0.18910000000000002,Effectiveness,0.2659968270756214
Revenue Per Employee (TTM),210398.0,686074.0,Effectiveness,0.3066695429356017
Total Debt/Total Capital (MRQ),0.556,0.5613,Financial strength,0.9905576340637806
Change in Debt/Total Capital Quarter over Quarter,0.0021,0.0048,Financial strength,0.4375
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),3.49,27.21,Financial strength,0.12826166850422638
