,SSNC
% Above Low,0.1436
% Held by Institutions,0.8414
52-Wk Range,['45.25 - 84.85']
Annual Dividend $,0.8
Annual Dividend %,0.015300000000000001
Ask,51.75
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,51.73
Bid Size,100.0
Day Change $,-0.67
Day Change %,-0.0128
Day High,52.64
Day Low,51.73
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.61
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.299
Last (size),100.0
Last (time),3:19p ET 11/28/22
Market Cap,13.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",20.05
Prev Close,52.42
Price,51.75
Short Interest,0.0126
Today's Open,51.83
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.06275303643724706
Growth 1yr High Est,-0.01988071570576555
Growth 1yr Consensus Est,-0.0413168760715063
Growth 2yr Low Est,-0.008698332473483172
Growth 2yr High Est,0.029613394682614202
Growth 2yr Consensus Est,0.010457531104565515
Growth 5yr Low Est,0.0744065068621581
Growth 5yr High Est,0.09316960216697792
Growth 5yr Consensus Est,0.08378805451456801
Growth 5yr Actual/Est,0.07270106246889618
Growth 3yr Historic,0.07253931629121374
Price/Earnings (TTM),20.05256
Price/Sales (TTM),2.5206
Price/Book (MRQ),2.3068
Price/Cash Flow (TTM),9.75271
5yr Low,29.51
5yr High,84.85
5yr Avg Return,0.06679999999999998
EPS Growth 5yr,0.3628655
Revenue Growth 5yr,0.2780237
Dividend Growth 5yr,0.22155709999999998
Short Int Current Month,2772423.0
Short Int Prev Month,3122237.0
Short Int Pct of Float,0.0126163
Days to Cover,1.66364
Float,219.7548
Shares Outstanding,251.9108
Institutions Holding Shares,761.0
FCF Growth 5yr,0.4087476286302895
"Price/Earnings (TTM, GAAP)",20.05
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.47700000000000004
Operating Profit Margin (TTM),0.21960000000000002
Net Profit Margin (TTM),0.1322
Annual Dividend Yield,0.015300000000000001
Dividend Change %,0.679
"Dividend Growth Rate, 3 Years",0.3136
EPS Growth (MRQ),0.4633
EPS Growth (TTM),-0.0625
Revenue Growth (MRQ),-0.0058
Revenue Growth (TTM),0.0562
Return On Equity (TTM),0.1198
Return On Assets (TTM),0.0414
Return On Investment (TTM),0.050300000000000004
Revenue Per Employee (TTM),210398.0
Total Debt/Total Capital (MRQ),0.556
Change in Debt/Total Capital Quarter over Quarter,0.0021
Quick Ratio (MRQ),
Interest Coverage (MRQ),3.49
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-07-23 00:00:00
theStreet since,2022-09-26 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-04-29 00:00:00
cfra since,
marketEdge opinion since,
