,CGEM
% Below High,0.3054
% Held by Institutions,0.8112999999999999
52-Wk Range,['7.30 - 19.12']
Annual Dividend $,
Annual Dividend %,
Ask,15.8
Ask Size,300.0
B/A Ratio,10.0
B/A Size,3000x300
Beta,
Bid,10.0
Bid Size,3000.0
Closing Price,13.28
Day Change $,-0.13
Day Change %,-0.0097
Day High,13.57
Day Low,12.96
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.19
Ex-dividend Date,No dividend
Historical Volatility,0.71
Last (size),14.0
Last (time),12:59p ET 11/25/22
Market Cap,604.2M
"P/E Ratio (TTM, GAAP)",6.06
Prev Close,13.41
Short Interest,0.061200000000000004
Today's Open,13.36
Volume,154646.0
Volume 10-day Avg,166973.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-03-16 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-2.5781990521327014
Growth 2yr High Est,-1.988235294117647
Growth 2yr Consensus Est,-2.2832171731251742
Growth 5yr Low Est,-2.5781990521327014
Growth 5yr High Est,-1.988235294117647
Growth 5yr Consensus Est,-2.2832171731251742
Growth 5yr Actual/Est,-1.84626142554783
Growth 3yr Historic,-0.24087591240875914
Price/Earnings (TTM),6.06227
Price/Sales (TTM),
Price/Book (MRQ),1.03641
Price/Cash Flow (TTM),5.95222
5yr Low,7.3
5yr High,59.85
5yr Avg Return,-0.39335000000000003
Short Int Current Month,2307124.0
Short Int Prev Month,2430832.0
Short Int Pct of Float,0.0612225
Days to Cover,14.07221
Float,37.68427
Shares Outstanding,45.77245
Institutions Holding Shares,146.0
FCF Growth 5yr,0.44895970038143035
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",6.06
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.1442
EPS Growth (TTM),2.5139
Revenue Growth (MRQ),
Revenue Growth (TTM),-1.0
Return On Equity (TTM),0.2049
Return On Assets (TTM),0.1907
Return On Investment (TTM),0.1975
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-18 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
