,CGEM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",6.06,471.78,Valuation,0.01284497011318835
Price/Sales (TTM),,45.03,Valuation,
Price/Book (MRQ),1.04,12.61,Valuation,0.08247422680412372
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),,-4.7459,Profitability,
Net Profit Margin (TTM),,-4.5467,Profitability,
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-1.1442,-0.0014000000000000002,Gowth rates,817.2857142857142
EPS Growth (TTM),2.5139,0.027200000000000002,Gowth rates,92.42279411764706
Revenue Growth (MRQ),,1.3963999999999999,Gowth rates,
Revenue Growth (TTM),-1.0,0.9747,Gowth rates,-1.0259567046270648
Return On Equity (TTM),0.2049,0.1967,Effectiveness,1.041687849517031
Return On Assets (TTM),0.1907,0.0016,Effectiveness,119.1875
Return On Investment (TTM),0.1975,0.0219,Effectiveness,9.018264840182649
Revenue Per Employee (TTM),0.0,1476201.0,Effectiveness,0.0
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
