,LPLA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",29.73,20.51,Valuation,1.4495368113115552
Price/Sales (TTM),2.21,12.46,Valuation,0.17736757624398072
Price/Book (MRQ),9.24,4.63,Valuation,1.9956803455723544
"PEG Ratio (TTM, GAAP)",0.65,2.67,Valuation,0.24344569288389514
Gross Profit Margin (TTM),0.9895999999999999,0.5835,Profitability,1.6959725792630675
Operating Profit Margin (TTM),0.113,0.269,Profitability,0.42007434944237915
Net Profit Margin (TTM),0.0759,0.1791,Profitability,0.4237855946398659
Annual Dividend Yield,0.0043,0.0257,Dividend,0.16731517509727625
Dividend Change %,0.0,0.2049,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.1213,Dividend,0.0
EPS Growth (MRQ),0.45,-0.2356,Gowth rates,-1.9100169779286926
EPS Growth (TTM),0.3718,-0.0768,Gowth rates,-4.841145833333334
Revenue Growth (MRQ),0.0609,0.0931,Gowth rates,0.6541353383458647
Revenue Growth (TTM),0.16010000000000002,0.0447,Gowth rates,3.581655480984341
Return On Equity (TTM),0.3511,0.1783,Effectiveness,1.969153112731352
Return On Assets (TTM),0.0736,0.0492,Effectiveness,1.4959349593495934
Return On Investment (TTM),0.125,0.1008,Effectiveness,1.2400793650793651
Revenue Per Employee (TTM),1412710.0,1125238.0,Effectiveness,1.255476619168567
Total Debt/Total Capital (MRQ),0.5855,0.5241,Financial strength,1.1171532150352985
Change in Debt/Total Capital Quarter over Quarter,-0.0027,0.0008,Financial strength,-3.375
Quick Ratio (MRQ),,0.0,Financial strength,
Interest Coverage (MRQ),10.47,21.92,Financial strength,0.47764598540145986
