,LPLA
% Below High,0.1466
% Held by Institutions,0.9782
52-Wk Range,['140.65 - 271.56']
Annual Dividend $,1.0
Annual Dividend %,0.0043
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.9
Bid,
Bid Size,
Closing Price,231.76
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",7.79
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.42200000000000004
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,18.4B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",29.73
Prev Close,231.76
Short Interest,0.0206
Today's Open,
Volume,289485.0
Volume 10-day Avg,1386032.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.6366366366366367
Growth 1yr High Est,0.622615803814714
Growth 1yr Consensus Est,0.6296262202256754
Growth 2yr Low Est,0.5981348320797862
Growth 2yr High Est,0.710972049682336
Growth 2yr Consensus Est,0.6545534408810612
Growth 5yr Low Est,0.2880266625773913
Growth 5yr High Est,0.3660867373941302
Growth 5yr Consensus Est,0.32705669998576076
Growth 5yr Actual/Est,0.31994994143949695
Growth 3yr Historic,-0.003710649035252811
Price/Earnings (TTM),29.73272
Price/Sales (TTM),2.20624
Price/Book (MRQ),9.24475
Price/Cash Flow (TTM),20.35136
5yr Low,32.01
5yr High,271.56
5yr Avg Return,0.30398333333333327
EPS Growth 5yr,0.21414100000000003
Revenue Growth 5yr,0.1377714
Dividend Growth 5yr,0.0
Short Int Current Month,1625960.0
Short Int Prev Month,2476886.0
Short Int Pct of Float,0.0205735
Days to Cover,1.16184
Float,79.13037
Shares Outstanding,79.60038
Institutions Holding Shares,760.0
FCF Growth 5yr,-5.0142560937500775
"Price/Earnings (TTM, GAAP)",29.73
"PEG Ratio (TTM, GAAP)",0.65
Gross Profit Margin (TTM),0.9895999999999999
Operating Profit Margin (TTM),0.113
Net Profit Margin (TTM),0.0759
Annual Dividend Yield,0.0043
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),0.45
EPS Growth (TTM),0.3718
Revenue Growth (MRQ),0.0609
Revenue Growth (TTM),0.16010000000000002
Return On Equity (TTM),0.3511
Return On Assets (TTM),0.0736
Return On Investment (TTM),0.125
Revenue Per Employee (TTM),1412710.0
Total Debt/Total Capital (MRQ),0.5855
Change in Debt/Total Capital Quarter over Quarter,-0.0027
Quick Ratio (MRQ),
Interest Coverage (MRQ),10.47
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-26 00:00:00
researchTeam since,2021-10-01 00:00:00
theStreet since,2020-05-27 00:00:00
cfra since,2021-10-29 00:00:00
ford since,2022-10-21 00:00:00
marketEdge opinion since,
