,MGM
% Above Low,0.3529
% Held by Institutions,0.6544
52-Wk Range,['26.41 - 49.00']
Annual Dividend $,0.01
Annual Dividend %,0.0003
Ask,36.83
Ask Size,200.0
B/A Ratio,3.0
B/A Size,600x200
Beta,2.0
Bid,36.4
Bid Size,600.0
Change Since Close,0.87| |(2.43%)
Closing Price,35.73
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.92
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.495
Last (size),518.0
Last (time),5:00p ET 11/25/22
Last Trade,36.6
Market Cap,13.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.22
Prev Close,35.73
Short Interest,0.0361
Today's Open,
Volume,7700.0
Volume 10-day Avg,4109797.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.8739946380697051
Growth 2yr High Est,-4.36283185840708
Growth 2yr Consensus Est,-2.618413248238393
Growth 5yr Low Est,-0.8739946380697051
Growth 5yr High Est,-4.36283185840708
Growth 5yr Consensus Est,-2.618413248238393
Growth 5yr Actual/Est,-0.8199741361041253
Growth 3yr Historic,-1.0729233637649478
Price/Earnings (TTM),12.21597
Price/Sales (TTM),1.08965
Price/Book (MRQ),2.86892
Price/Cash Flow (TTM),4.57326
5yr Low,5.9
5yr High,51.17
5yr Avg Return,0.046599999999999996
EPS Growth 5yr,0.0468588
Revenue Growth 5yr,0.0042238
Dividend Growth 5yr,
Short Int Current Month,11434136.0
Short Int Prev Month,17142064.0
Short Int Pct of Float,0.0361083
Days to Cover,1.64679
Float,306.1309
Shares Outstanding,384.0203
Institutions Holding Shares,841.0
FCF Growth 5yr,0.23392102726277186
"Price/Earnings (TTM, GAAP)",12.22
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.49450000000000005
Operating Profit Margin (TTM),0.1437
Net Profit Margin (TTM),0.051100000000000007
Annual Dividend Yield,0.0003
Dividend Change %,-0.9365000000000001
"Dividend Growth Rate, 3 Years",-0.7248
EPS Growth (MRQ),-1.3438999999999999
EPS Growth (TTM),1.2470999999999999
Revenue Growth (MRQ),0.0463
Revenue Growth (TTM),0.5514
Return On Equity (TTM),0.2198
Return On Assets (TTM),0.014499999999999999
Return On Investment (TTM),0.0175
Revenue Per Employee (TTM),299813.0
Total Debt/Total Capital (MRQ),0.5943
Change in Debt/Total Capital Quarter over Quarter,-0.004
Quick Ratio (MRQ),1.47
Interest Coverage (MRQ),-6.36
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-09-16 00:00:00
theStreet since,2022-03-09 00:00:00
cfra since,2022-08-04 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
