,ZS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),18.07,9.39,Valuation,1.9243876464323748
Price/Book (MRQ),34.11,12.63,Valuation,2.700712589073634
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.7779,0.7206,Profitability,1.0795170691090759
Operating Profit Margin (TTM),-0.30010000000000003,0.2172,Profitability,-1.3816758747697975
Net Profit Margin (TTM),-0.3577,0.1553,Profitability,-2.30328396651642
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.0434,-0.0752,Gowth rates,-0.5771276595744681
EPS Growth (TTM),-0.43570000000000003,-0.2824,Gowth rates,1.542847025495751
Revenue Growth (MRQ),0.109,0.15560000000000002,Gowth rates,0.7005141388174806
Revenue Growth (TTM),0.6208,0.1906,Gowth rates,3.2570828961175238
Return On Equity (TTM),-0.7081999999999999,0.2189,Effectiveness,-3.235267245317496
Return On Assets (TTM),-0.1533,0.10740000000000001,Effectiveness,-1.4273743016759775
Return On Investment (TTM),-0.24120000000000003,0.1387,Effectiveness,-1.739005046863735
Revenue Per Employee (TTM),219286.0,667721.0,Effectiveness,0.3284096201856764
Total Debt/Total Capital (MRQ),0.6282,0.39659999999999995,Financial strength,1.5839636913767021
Change in Debt/Total Capital Quarter over Quarter,-0.0015,0.0004,Financial strength,-3.75
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-6.96,0.28,Financial strength,-24.857142857142854
