,ZS
% Above Low,0.19710000000000003
% Held by Institutions,0.4781
52-Wk Range,['114.21 - 373.74']
Annual Dividend $,
Annual Dividend %,
Ask,137.45
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,0.8
Bid,136.72
Bid Size,100.0
Closing Price,136.72
Day Change $,-2.03
Day Change %,-0.0146
Day High,139.39
Day Low,135.42
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.77
Ex-dividend Date,No dividend
Historical Volatility,0.774
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,19.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,138.75
Short Interest,0.07139999999999999
Today's Open,137.62
Volume,1515386.0
Volume 10-day Avg,1726232.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2022-12-01 00:00:00
Growth Analysts,29.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.06422018348623837
Growth 2yr High Est,0.4516129032258065
Growth 2yr Consensus Est,0.25791654335602243
Growth 5yr Low Est,0.06422018348623837
Growth 5yr High Est,0.4516129032258065
Growth 5yr Consensus Est,0.25791654335602243
Growth 5yr Actual/Est,0.6420353626967483
Growth 3yr Historic,0.37339743589743596
Price/Earnings (TTM),
Price/Sales (TTM),18.34126
Price/Book (MRQ),34.61804
Price/Cash Flow (TTM),
5yr Low,24.76
5yr High,376.11
5yr Avg Return,0.78614
EPS Growth 5yr,
Revenue Growth 5yr,0.5405715
Dividend Growth 5yr,
Short Int Current Month,6171581.0
Short Int Prev Month,6677777.0
Short Int Pct of Float,0.0713733
Days to Cover,2.17359
Float,86.47519
Shares Outstanding,144.2113
Institutions Holding Shares,893.0
FCF Growth 5yr,0.40738796457460524
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7779
Operating Profit Margin (TTM),-0.30010000000000003
Net Profit Margin (TTM),-0.3577
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0434
EPS Growth (TTM),-0.43570000000000003
Revenue Growth (MRQ),0.109
Revenue Growth (TTM),0.6208
Return On Equity (TTM),-0.7081999999999999
Return On Assets (TTM),-0.1533
Return On Investment (TTM),-0.24120000000000003
Revenue Per Employee (TTM),219286.0
Total Debt/Total Capital (MRQ),0.6282
Change in Debt/Total Capital Quarter over Quarter,-0.0015
Quick Ratio (MRQ),
Interest Coverage (MRQ),-6.96
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-01-07 00:00:00
theStreet since,2022-01-07 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-12-01 00:00:00
ford since,2022-10-21 00:00:00
marketEdge opinion since,
