,MRCY
% Above Low,0.21670000000000003
% Held by Institutions,0.9823999999999999
52-Wk Range,['40.48 - 72.28']
Annual Dividend $,
Annual Dividend %,
Ask,51.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,0.15
Bid Size,100.0
Closing Price,49.25
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.07
Ex-dividend Date,No dividend
Historical Volatility,0.42100000000000004
Last (size),661.0
Last (time),1:00p ET 11/25/22
Market Cap,2.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",744.07
Prev Close,49.25
Short Interest,0.0385
Today's Open,
Volume,91650.0
Volume 10-day Avg,234204.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.16170212765957448
Growth 1yr High Est,-0.12552301255230136
Growth 1yr Consensus Est,-0.14361257010593792
Growth 2yr Low Est,-0.13161248514958418
Growth 2yr High Est,0.08795619707313168
Growth 2yr Consensus Est,-0.02182814403822625
Growth 5yr Low Est,-0.08774165676638945
Growth 5yr High Est,0.05863746471542112
Growth 5yr Consensus Est,-0.014552096025484166
Growth 5yr Actual/Est,0.014431210433837827
Growth 3yr Historic,-0.0107168523176428
Price/Earnings (TTM),744.0701
Price/Sales (TTM),2.88226
Price/Book (MRQ),1.79792
Price/Cash Flow (TTM),28.63998
5yr Low,30.11
5yr High,96.29
5yr Avg Return,0.027283333333333337
EPS Growth 5yr,-0.18993839999999998
Revenue Growth 5yr,0.1931954
Dividend Growth 5yr,
Short Int Current Month,2178549.0
Short Int Prev Month,2008023.0
Short Int Pct of Float,0.038548900000000004
Days to Cover,6.3005
Float,56.5249
Shares Outstanding,57.98243
Institutions Holding Shares,310.0
FCF Growth 5yr,1.0798993747255041
"Price/Earnings (TTM, GAAP)",744.07
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3882
Operating Profit Margin (TTM),0.030299999999999997
Net Profit Margin (TTM),0.0040999999999999995
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.8655000000000002
EPS Growth (TTM),-0.9059999999999999
Revenue Growth (MRQ),-0.2145
Revenue Growth (TTM),0.050199999999999995
Return On Equity (TTM),0.0027
Return On Assets (TTM),0.0019
Return On Investment (TTM),0.0021
Revenue Per Employee (TTM),415240.0
Total Debt/Total Capital (MRQ),0.2495
Change in Debt/Total Capital Quarter over Quarter,0.011399999999999999
Quick Ratio (MRQ),3.25
Interest Coverage (MRQ),-0.4
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2021-08-24 00:00:00
ford since,2022-06-10 00:00:00
cfra since,
marketEdge opinion since,
