,MRCY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",744.07,50.64,Valuation,14.69332543443918
Price/Sales (TTM),2.88,4.74,Valuation,0.6075949367088607
Price/Book (MRQ),1.8,4.28,Valuation,0.4205607476635514
"PEG Ratio (TTM, GAAP)",,1.95,Valuation,
Gross Profit Margin (TTM),0.3882,0.19460000000000002,Profitability,1.9948612538540593
Operating Profit Margin (TTM),0.030299999999999997,-0.5263,Profitability,-0.05757172715181455
Net Profit Margin (TTM),0.0040999999999999995,-0.5391,Profitability,-0.0076052680393248
Annual Dividend Yield,,0.0139,Dividend,
Dividend Change %,,0.0564,Dividend,
"Dividend Growth Rate, 3 Years",,0.0055000000000000005,Dividend,
EPS Growth (MRQ),-1.8655000000000002,-3.8235,Gowth rates,0.48790375310579315
EPS Growth (TTM),-0.9059999999999999,0.2595,Gowth rates,-3.4913294797687855
Revenue Growth (MRQ),-0.2145,0.0689,Gowth rates,-3.1132075471698113
Revenue Growth (TTM),0.050199999999999995,0.0147,Gowth rates,3.4149659863945576
Return On Equity (TTM),0.0027,0.1825,Effectiveness,0.014794520547945207
Return On Assets (TTM),0.0019,0.047,Effectiveness,0.04042553191489362
Return On Investment (TTM),0.0021,0.0521,Effectiveness,0.04030710172744721
Revenue Per Employee (TTM),415240.0,411752.0,Effectiveness,1.008471118537372
Total Debt/Total Capital (MRQ),0.2495,0.5861,Financial strength,0.4256952738440539
Change in Debt/Total Capital Quarter over Quarter,0.011399999999999999,-0.0001,Financial strength,-113.99999999999999
Quick Ratio (MRQ),3.25,1.06,Financial strength,3.0660377358490565
Interest Coverage (MRQ),-0.4,7.88,Financial strength,-0.05076142131979696
