,SABR
% Above Low,0.21300000000000002
% Held by Institutions,1.0251000000000001
52-Wk Range,['4.46 - 12.08']
Annual Dividend $,
Annual Dividend %,
Ask,5.41
Ask Size,2900.0
B/A Ratio,1.103448275862069
B/A Size,3200x2900
Beta,1.8
Bid,5.4
Bid Size,3200.0
Day Change $,0.08
Day Change %,0.015
Day High,5.44
Day Low,5.22
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.5
Ex-dividend Date,No dividend
Historical Volatility,0.7859999999999999
Last (size),100.0
Last (time),1:32p ET 11/28/22
Market Cap,1.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,5.33
Price,5.41
Short Interest,0.1301
Today's Open,5.27
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.5258964143426295
Growth 1yr High Est,-0.48756218905472626
Growth 1yr Consensus Est,-0.5067293016986778
Growth 2yr Low Est,-0.5990826609528274
Growth 2yr High Est,-0.7340723566632854
Growth 2yr Consensus Est,-0.6665775088080563
Growth 5yr Low Est,-1.196448546971259
Growth 5yr High Est,-1.0956076069030711
Growth 5yr Consensus Est,-1.1460280769371651
Growth 5yr Actual/Est,-1.4549626729545133
Growth 3yr Historic,-1.1133865745065072
Price/Earnings (TTM),
Price/Sales (TTM),0.72727
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,3.3
5yr High,26.78
5yr Avg Return,-0.16678333333333334
EPS Growth 5yr,
Revenue Growth 5yr,-0.1292244
Dividend Growth 5yr,
Short Int Current Month,41068271.0
Short Int Prev Month,42461746.0
Short Int Pct of Float,0.1301438
Days to Cover,6.31042
Float,324.4693
Shares Outstanding,328.3612
Institutions Holding Shares,411.0
FCF Growth 5yr,0.13344458593730169
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.599
Operating Profit Margin (TTM),-0.13949999999999999
Net Profit Margin (TTM),-0.1898
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2748
EPS Growth (TTM),0.5604
Revenue Growth (MRQ),0.0089
Revenue Growth (TTM),0.6022
Return On Equity (TTM),
Return On Assets (TTM),-0.0873
Return On Investment (TTM),-0.1012
Revenue Per Employee (TTM),317351.0
Total Debt/Total Capital (MRQ),1.1825
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),
Interest Coverage (MRQ),-0.4
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2020-02-03 00:00:00
theStreet since,2020-03-17 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-02-26 00:00:00
ford since,2022-08-05 00:00:00
marketEdge opinion since,
