,APTV
% Above Low,0.3579
% Held by Institutions,0.9698
52-Wk Range,['77.96 - 175.91']
Annual Dividend $,
Annual Dividend %,
Ask,130.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,2.0
Bid,71.0
Bid Size,100.0
Closing Price,105.86
Day Change $,-1.05
Day Change %,-0.0098
Day High,107.01
Day Low,105.13
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.15
Ex-dividend Date,No dividend
Historical Volatility,0.519
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,28.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",91.71
Prev Close,106.91
Short Interest,0.0149
Today's Open,106.79
Volume,614340.0
Volume 10-day Avg,1596490.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,0.2248995983935742
Growth 1yr High Est,0.2724014336917562
Growth 1yr Consensus Est,0.2486505160426652
Growth 2yr Low Est,0.26818750411481995
Growth 2yr High Est,0.6362007168458781
Growth 2yr Consensus Est,0.452194110480349
Growth 5yr Low Est,0.018542996117885152
Growth 5yr High Est,0.21587578215175263
Growth 5yr Consensus Est,0.11720938913481889
Growth 5yr Actual/Est,0.12071293234721417
Growth 3yr Historic,-0.06261812714776635
Price/Earnings (TTM),91.71085
Price/Sales (TTM),1.68891
Price/Book (MRQ),3.49981
Price/Cash Flow (TTM),21.72934
5yr Low,29.22
5yr High,180.81
5yr Avg Return,0.06481666666666666
EPS Growth 5yr,-0.0860562
Revenue Growth 5yr,0.049368100000000005
Dividend Growth 5yr,
Short Int Current Month,4009949.0
Short Int Prev Month,4377536.0
Short Int Pct of Float,0.014863900000000001
Days to Cover,1.604
Float,269.8622
Shares Outstanding,270.9496
Institutions Holding Shares,1085.0
FCF Growth 5yr,-0.6288290651288942
"Price/Earnings (TTM, GAAP)",91.71
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1421
Operating Profit Margin (TTM),0.0546
Net Profit Margin (TTM),0.0364
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),5.6856
EPS Growth (TTM),-0.6012
Revenue Growth (MRQ),0.1373
Revenue Growth (TTM),0.08199999999999999
Return On Equity (TTM),0.038
Return On Assets (TTM),0.0329
Return On Investment (TTM),0.042300000000000004
Revenue Per Employee (TTM),109568.0
Total Debt/Total Capital (MRQ),0.4311
Change in Debt/Total Capital Quarter over Quarter,0.004
Quick Ratio (MRQ),2.1
Interest Coverage (MRQ),12.71
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2022-11-03 00:00:00
ford since,2022-01-21 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2021-05-07 00:00:00
