,APTV,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",91.71,35.21,Valuation,2.6046577676796363
Price/Sales (TTM),1.69,3.92,Valuation,0.43112244897959184
Price/Book (MRQ),3.5,4.78,Valuation,0.7322175732217573
"PEG Ratio (TTM, GAAP)",,11.27,Valuation,
Gross Profit Margin (TTM),0.1421,0.13140000000000002,Profitability,1.0814307458143073
Operating Profit Margin (TTM),0.0546,-0.2583,Profitability,-0.21138211382113825
Net Profit Margin (TTM),0.0364,-0.20260000000000003,Profitability,-0.17966436327739385
Annual Dividend Yield,,0.0088,Dividend,
Dividend Change %,,0.3011,Dividend,
"Dividend Growth Rate, 3 Years",,-0.0053,Dividend,
EPS Growth (MRQ),5.6856,1.995,Gowth rates,2.849924812030075
EPS Growth (TTM),-0.6012,-0.031200000000000002,Gowth rates,19.269230769230766
Revenue Growth (MRQ),0.1373,0.269,Gowth rates,0.5104089219330855
Revenue Growth (TTM),0.08199999999999999,0.1174,Gowth rates,0.6984667802385007
Return On Equity (TTM),0.038,0.08130000000000001,Effectiveness,0.4674046740467404
Return On Assets (TTM),0.0329,0.0258,Effectiveness,1.2751937984496124
Return On Investment (TTM),0.042300000000000004,0.0425,Effectiveness,0.9952941176470589
Revenue Per Employee (TTM),109568.0,214262.0,Effectiveness,0.5113739253810755
Total Debt/Total Capital (MRQ),0.4311,0.38280000000000003,Financial strength,1.1261755485893417
Change in Debt/Total Capital Quarter over Quarter,0.004,0.2187,Financial strength,0.01828989483310471
Quick Ratio (MRQ),2.1,1.64,Financial strength,1.2804878048780488
Interest Coverage (MRQ),12.71,46.02,Financial strength,0.27618426770969146
