,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,84.8,39.33,,,,,
low,30.1,15.41,,,,,
change,-0.5545,-0.3547,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,369.0,309.0,335.0,365.0,Balance Sheet
"Trade Accts Recvble, Net",,,48.0,47.0,55.0,57.0,Balance Sheet
Other Receivables,,,34.0,34.0,4.0,6.0,Balance Sheet
"Total Receivables, Net",,,81.0,81.0,59.0,62.0,Balance Sheet
Prepaid Expenses,,,11.0,16.0,15.0,14.0,Balance Sheet
"Other Curr. Assets, Total",,,8.0,8.0,10.0,10.0,Balance Sheet
Total Current Assets,,,469.0,414.0,418.0,452.0,Balance Sheet
Buildings,,,7.0,8.0,7.0,6.0,Balance Sheet
Machinery/Equipment,,,22.0,23.0,23.0,23.0,Balance Sheet
Other Prop./Plant/Equip.,,,27.0,27.0,21.0,21.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,56.0,57.0,51.0,49.0,Balance Sheet
Accumulated Depreciation,,,-15.0,-17.0,-17.0,-17.0,Balance Sheet
Prop./Plant/Equip. - Net,,,41.0,41.0,34.0,33.0,Balance Sheet
"Goodwill, Net",,,1540.0,1582.0,1579.0,1576.0,Balance Sheet
Intangibles - Gross,,,1911.0,1956.0,1956.0,1955.0,Balance Sheet
Accum. Intangible Amort.,,,-214.0,-239.0,-264.0,-281.0,Balance Sheet
Intangibles - Net,,,1697.0,1717.0,1692.0,1674.0,Balance Sheet
Other Long Term Assets,,,10.0,20.0,23.0,35.0,Balance Sheet
Total Assets,,,3777.0,3795.0,3768.0,3793.0,Balance Sheet
Accounts Payable,,,19.0,9.0,10.0,11.0,Balance Sheet
Accrued Expenses,,,44.0,46.0,50.0,59.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,6.0,3.0,3.0,6.0,Balance Sheet
Customer Advances,,,40.0,41.0,44.0,45.0,Balance Sheet
