,BMBL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",190.63,18.12,Valuation,10.520419426048564
Price/Sales (TTM),3.29,4.52,Valuation,0.7278761061946903
Price/Book (MRQ),1.69,5.02,Valuation,0.3366533864541833
"PEG Ratio (TTM, GAAP)",,8.0,Valuation,
Gross Profit Margin (TTM),0.7284,0.6097,Profitability,1.1946859111038215
Operating Profit Margin (TTM),0.046,0.24480000000000002,Profitability,0.18790849673202611
Net Profit Margin (TTM),0.035,0.1981,Profitability,0.17667844522968199
Annual Dividend Yield,,0.0001,Dividend,
Dividend Change %,,0.0003,Dividend,
"Dividend Growth Rate, 3 Years",,,Dividend,
EPS Growth (MRQ),2.5849,-0.2712,Gowth rates,-9.531342182890857
EPS Growth (TTM),-0.9304000000000001,-0.0227,Gowth rates,40.986784140969164
Revenue Growth (MRQ),0.067,0.7634000000000001,Gowth rates,0.0877652606759235
Revenue Growth (TTM),0.2057,1.7572999999999999,Gowth rates,0.11705457235531783
Return On Equity (TTM),0.015300000000000001,0.2407,Effectiveness,0.06356460324054841
Return On Assets (TTM),0.008100000000000001,0.16899999999999998,Effectiveness,0.04792899408284025
Return On Investment (TTM),0.011000000000000001,0.20510000000000003,Effectiveness,0.05363237445148707
Revenue Per Employee (TTM),966773.0,1707732.0,Effectiveness,0.5661151749806176
Total Debt/Total Capital (MRQ),0.1963,0.0821,Financial strength,2.3909866017052375
Change in Debt/Total Capital Quarter over Quarter,-0.0001,0.028999999999999998,Financial strength,-0.003448275862068966
Quick Ratio (MRQ),,1.88,Financial strength,
Interest Coverage (MRQ),58.98,29.8,Financial strength,1.979194630872483
