,BMBL
% Above Low,0.43090000000000006
% Held by Institutions,0.9948999999999999
52-Wk Range,['15.41 - 39.33']
Annual Dividend $,
Annual Dividend %,
Ask,22.18
Ask Size,500.0
B/A Ratio,1.4
B/A Size,700x500
Beta,
Bid,22.06
Bid Size,700.0
Closing Price,22.05
Day Change $,-0.49
Day Change %,-0.0217
Day High,22.44
Day Low,21.97
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.12
Ex-dividend Date,No dividend
Historical Volatility,0.8570000000000001
Last (size),198.0
Last (time),12:59p ET 11/25/22
Market Cap,2.9B
"P/E Ratio (TTM, GAAP)",190.63
Prev Close,22.54
Short Interest,0.0775
Today's Open,22.43
Volume,316709.0
Volume 10-day Avg,2150152.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-08 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.8819444444444444
Growth 1yr High Est,-0.9028571428571428
Growth 1yr Consensus Est,-0.8924007936507936
Growth 2yr Low Est,-1.4997957516339868
Growth 2yr High Est,-0.37789915966386556
Growth 2yr Consensus Est,-0.9388474556489261
Growth 5yr Low Est,-1.4997957516339868
Growth 5yr High Est,-0.37789915966386556
Growth 5yr Consensus Est,-0.9388474556489262
Growth 5yr Actual/Est,-12.620111731843574
Growth 3yr Historic,-12.266666666666666
Price/Earnings (TTM),190.6285
Price/Sales (TTM),3.28628
Price/Book (MRQ),1.68606
Price/Cash Flow (TTM),21.95417
5yr Low,15.41
5yr High,84.8
5yr Avg Return,-0.4546
Short Int Current Month,9927124.0
Short Int Prev Month,8217018.0
Short Int Pct of Float,0.0775458
Days to Cover,3.53585
Float,128.7427
Shares Outstanding,129.677
Institutions Holding Shares,286.0
FCF Growth 5yr,0.5443362607430332
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",190.63
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7284
Operating Profit Margin (TTM),0.046
Net Profit Margin (TTM),0.035
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),2.5849
EPS Growth (TTM),-0.9304000000000001
Revenue Growth (MRQ),0.067
Revenue Growth (TTM),0.2057
Return On Equity (TTM),0.015300000000000001
Return On Assets (TTM),0.008100000000000001
Return On Investment (TTM),0.011000000000000001
Revenue Per Employee (TTM),966773.0
Total Debt/Total Capital (MRQ),0.1963
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),58.98
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-08-12 00:00:00
cfra since,2022-10-07 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
theStreet since,2022-08-16 00:00:00
marketEdge opinion since,
