,VVI
% Above Low,0.1434
% Held by Institutions,0.9196
52-Wk Range,['25.18 - 47.54']
Annual Dividend $,
Annual Dividend %,
Ask,55.0
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.7
Bid,
Bid Size,
Closing Price,28.79
Day Change $,0.26
Day Change %,0.0091
Day High,28.84
Day Low,28.14
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.37
Ex-dividend Date,No dividend
Historical Volatility,0.494
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,596.1M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,28.53
Short Interest,0.0199
Today's Open,28.14
Volume,79857.0
Volume 10-day Avg,116642.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-5.935483870967742
Growth 2yr High Est,-11.200000000000001
Growth 2yr Consensus Est,-8.567741935483872
Growth 5yr Low Est,-5.935483870967742
Growth 5yr High Est,-11.200000000000001
Growth 5yr Consensus Est,-8.567741935483872
Growth 5yr Actual/Est,-3.0524538791355877
Growth 3yr Historic,-0.9025382547559967
Price/Earnings (TTM),
Price/Sales (TTM),0.55484
Price/Book (MRQ),75.97478
Price/Cash Flow (TTM),10.48131
5yr Low,11.25
5yr High,72.27
5yr Avg Return,-0.06493333333333334
EPS Growth 5yr,
Revenue Growth 5yr,-0.15886720000000001
Dividend Growth 5yr,
Short Int Current Month,399305.0
Short Int Prev Month,501485.0
Short Int Pct of Float,0.019894099999999998
Days to Cover,2.75377
Float,20.07698
Shares Outstanding,20.6702
Institutions Holding Shares,199.0
FCF Growth 5yr,1.1178362605637666
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0672
Operating Profit Margin (TTM),0.048499999999999995
Net Profit Margin (TTM),0.0102
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.7166
EPS Growth (TTM),0.9413
Revenue Growth (MRQ),0.19899999999999998
Revenue Growth (TTM),2.0425
Return On Equity (TTM),-0.4274
Return On Assets (TTM),0.0098
Return On Investment (TTM),0.013700000000000002
Revenue Per Employee (TTM),302636.0
Total Debt/Total Capital (MRQ),0.6706000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0005
Quick Ratio (MRQ),1.08
Interest Coverage (MRQ),6.56
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-08-16 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-08-12 00:00:00
cfra since,
marketEdge opinion since,
