,NWE
% Below High,0.07980000000000001
% Held by Institutions,0.9974
52-Wk Range,['48.68 - 63.06']
Annual Dividend $,2.52
Annual Dividend %,0.0434
Ask,58.99
Ask Size,100.0
Ask close,69.82
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,55.54
Bid Size,100.0
Bid close,44.52
Change Since Close,-1.74| |(-3.00%)
Closing Price,58.03
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",3.06
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.231
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,56.29
Market Cap,3.4B
"P/E Ratio (TTM, GAAP)",18.96
Prev Close,58.03
Short Interest,0.0212
Today's Open,
Volume,1.0
Volume 10-day Avg,304197.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-0.06857142857142862
Growth 1yr High Est,-0.05982905982905984
Growth 1yr Consensus Est,-0.06420024420024423
Growth 2yr Low Est,-0.012813321647677511
Growth 2yr High Est,0.007964257964257926
Growth 2yr Consensus Est,-0.0024245318417097927
Growth 5yr Low Est,0.0013919131512057925
Growth 5yr High Est,0.009280676356361234
Growth 5yr Consensus Est,0.005336294753783513
Growth 5yr Actual/Est,0.007637939967535229
Growth 3yr Historic,0.008013608788325965
Price/Earnings (TTM),18.96232
Price/Sales (TTM),2.39511
Price/Book (MRQ),1.32138
Price/Cash Flow (TTM),9.31682
5yr Low,45.06
5yr High,80.52
5yr Avg Return,-0.007533333333333331
EPS Growth 5yr,0.012397199999999999
Revenue Growth 5yr,0.0176694
Dividend Growth 5yr,0.0439611
Short Int Current Month,1213205.0
Short Int Prev Month,1567203.0
Short Int Pct of Float,0.0211917
Days to Cover,3.72771
Float,57.28052
Shares Outstanding,57.77874
Institutions Holding Shares,389.0
FCF Growth 5yr,15.496529478448315
"Price/Earnings (TTM, GAAP)",18.96
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5613
Operating Profit Margin (TTM),0.1856
Net Profit Margin (TTM),0.11970000000000001
Annual Dividend Yield,0.0434
Dividend Change %,0.0333
"Dividend Growth Rate, 3 Years",0.04070000000000001
EPS Growth (MRQ),-0.10550000000000001
EPS Growth (TTM),-0.17170000000000002
Revenue Growth (MRQ),0.0373
Revenue Growth (TTM),0.045899999999999996
Return On Equity (TTM),0.0701
Return On Assets (TTM),0.024300000000000002
Return On Investment (TTM),0.0263
Revenue Per Employee (TTM),943962.0
Total Debt/Total Capital (MRQ),0.5028
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),0.56
Interest Coverage (MRQ),1.91
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-30 00:00:00
theStreet since,2022-08-30 00:00:00
ford since,2022-09-02 00:00:00
cfra since,
marketEdge opinion since,
