,LUV,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",30.81,-34.24,Valuation,-0.8998247663551401
Price/Sales (TTM),1.03,0.63,Valuation,1.6349206349206349
Price/Book (MRQ),2.13,2.71,Valuation,0.7859778597785978
"PEG Ratio (TTM, GAAP)",,-0.02,Valuation,
Gross Profit Margin (TTM),0.6945,0.5245000000000001,Profitability,1.3241182078169684
Operating Profit Margin (TTM),0.0613,0.029500000000000002,Profitability,2.077966101694915
Net Profit Margin (TTM),0.0364,0.003,Profitability,12.133333333333333
Annual Dividend Yield,,,Dividend,
Dividend Change %,-1.0,-0.2447,Dividend,4.086636697997548
"Dividend Growth Rate, 3 Years",,,Dividend,
EPS Growth (MRQ),-0.6378,0.541,Gowth rates,-1.1789279112754159
EPS Growth (TTM),30.8187,16.999000000000002,Gowth rates,1.812971351255956
Revenue Growth (MRQ),-0.0755,0.46299999999999997,Gowth rates,-0.16306695464362853
Revenue Growth (TTM),0.7796,0.8456999999999999,Gowth rates,0.9218398959441884
Return On Equity (TTM),0.0781,-0.010900000000000002,Effectiveness,-7.1651376146788985
Return On Assets (TTM),0.0226,-0.002,Effectiveness,-11.299999999999999
Return On Investment (TTM),0.0309,-0.0021,Effectiveness,-14.714285714285715
Revenue Per Employee (TTM),411851.0,453436.0,Effectiveness,0.9082891521625984
Total Debt/Total Capital (MRQ),0.44320000000000004,0.6829000000000001,Financial strength,0.6489969248791917
Change in Debt/Total Capital Quarter over Quarter,-0.002,-0.0014000000000000002,Financial strength,1.4285714285714284
Quick Ratio (MRQ),1.5,0.87,Financial strength,1.7241379310344829
Interest Coverage (MRQ),79.8,23.47,Financial strength,3.4000852151683
