,LUV
% Above Low,0.2987
% Held by Institutions,0.7425
52-Wk Range,['30.20 - 50.10']
Annual Dividend $,
Annual Dividend %,
Ask,39.5
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.1
Bid,36.0
Bid Size,100.0
Change Since Close,-0.98| |(-2.50%)
Closing Price,39.22
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.27
Ex-dividend Date,No dividend
Historical Volatility,0.37700000000000006
Last (size),10.0
Last (time),5:00p ET 11/25/22
Last Trade,38.24
Market Cap,23.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",30.81
Prev Close,39.22
Short Interest,0.0154
Today's Open,
Volume,85.0
Volume 10-day Avg,4845193.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-1.7553956834532376
Growth 1yr High Est,-2.5886075949367084
Growth 1yr Consensus Est,-2.1720016391949732
Growth 2yr Low Est,-0.853888317917095
Growth 2yr High Est,-1.0532679408946488
Growth 2yr Consensus Est,-0.9535781294058718
Growth 5yr Low Est,-1.2301133376812496
Growth 5yr High Est,-1.29449449398466
Growth 5yr Consensus Est,-1.262303915832955
Growth 5yr Actual/Est,-1.206065252952702
Growth 3yr Historic,-0.7777538272701945
Price/Earnings (TTM),30.81008
Price/Sales (TTM),1.02617
Price/Book (MRQ),2.13172
Price/Cash Flow (TTM),10.91235
5yr Low,22.47
5yr High,66.99
5yr Avg Return,-0.046316666666666666
EPS Growth 5yr,-0.14192470000000001
Revenue Growth 5yr,-0.0489041
Dividend Growth 5yr,
Short Int Current Month,9107258.0
Short Int Prev Month,10103384.0
Short Int Pct of Float,0.0153996
Days to Cover,1.54848
Float,591.6715
Shares Outstanding,593.752
Institutions Holding Shares,1148.0
FCF Growth 5yr,0.12687147894427553
"Price/Earnings (TTM, GAAP)",30.81
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6945
Operating Profit Margin (TTM),0.0613
Net Profit Margin (TTM),0.0364
Annual Dividend Yield,
Dividend Change %,-1.0
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.6378
EPS Growth (TTM),30.8187
Revenue Growth (MRQ),-0.0755
Revenue Growth (TTM),0.7796
Return On Equity (TTM),0.0781
Return On Assets (TTM),0.0226
Return On Investment (TTM),0.0309
Revenue Per Employee (TTM),411851.0
Total Debt/Total Capital (MRQ),0.44320000000000004
Change in Debt/Total Capital Quarter over Quarter,-0.002
Quick Ratio (MRQ),1.5
Interest Coverage (MRQ),79.8
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2020-03-04 00:00:00
newConstructs since,2022-11-28 00:00:00
cfra since,2021-07-22 00:00:00
ford since,2022-04-14 00:00:00
marketEdge opinion since,
