,ZBH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",73.23,61.36,Valuation,1.1934485006518905
Price/Sales (TTM),3.45,9.8,Valuation,0.3520408163265306
Price/Book (MRQ),2.02,10.31,Valuation,0.1959262851600388
"PEG Ratio (TTM, GAAP)",10.46,3.02,Valuation,3.4635761589403975
Gross Profit Margin (TTM),0.6979000000000001,0.6196,Profitability,1.1263718528082634
Operating Profit Margin (TTM),0.0893,0.047,Profitability,1.9000000000000001
Net Profit Margin (TTM),0.047400000000000005,0.009300000000000001,Profitability,5.096774193548387
Annual Dividend Yield,0.008199999999999999,0.0095,Dividend,0.863157894736842
Dividend Change %,0.0,0.0679,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.0524,Dividend,0.0
EPS Growth (MRQ),0.2622,-0.4858,Gowth rates,-0.5397282832441334
EPS Growth (TTM),-0.5972,-0.2029,Gowth rates,2.9433218334154754
Revenue Growth (MRQ),-0.0629,0.1161,Gowth rates,-0.5417743324720069
Revenue Growth (TTM),0.0024,0.18300000000000002,Gowth rates,0.013114754098360652
Return On Equity (TTM),0.0271,0.1068,Effectiveness,0.2537453183520599
Return On Assets (TTM),0.015,0.0622,Effectiveness,0.24115755627009647
Return On Investment (TTM),0.0169,0.0732,Effectiveness,0.2308743169398907
Revenue Per Employee (TTM),366805.0,403586.0,Effectiveness,0.9088645294930944
Total Debt/Total Capital (MRQ),0.3181,0.3161,Financial strength,1.006327111673521
Change in Debt/Total Capital Quarter over Quarter,-0.0014000000000000002,0.0125,Financial strength,-0.11200000000000002
Quick Ratio (MRQ),1.05,2.25,Financial strength,0.4666666666666667
Interest Coverage (MRQ),6.94,14.99,Financial strength,0.46297531687791865
