,ZBH
% Above Low,0.1721
% Held by Institutions,0.9067000000000001
52-Wk Range,['100.39 - 135.05']
Annual Dividend $,0.96
Annual Dividend %,0.008100000000000001
Ask,126.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.1
Bid,110.0
Bid Size,200.0
Closing Price,117.67
Day Change $,-1.54
Day Change %,-0.0129
Day High,119.26
Day Low,117.2
Dividend Pay Date,2022-10-31 00:00:00
"EPS (TTM, GAAP)",1.61
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.32799999999999996
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,24.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",74.19
Prev Close,119.21
Short Interest,0.0108
Today's Open,118.14
Volume,1207617.0
Volume 10-day Avg,995702.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,29.0
Growth 1yr Low Est,-0.07808219178082187
Growth 1yr High Est,-0.07764390896921014
Growth 1yr Consensus Est,-0.07786305037501601
Growth 2yr Low Est,-0.03384050153677054
Growth 2yr High Est,-0.017776961741499064
Growth 2yr Consensus Est,-0.025808731639134802
Growth 5yr Low Est,0.04666110556998038
Growth 5yr High Est,-0.006702913378128672
Growth 5yr Consensus Est,0.019979096095925852
Growth 5yr Actual/Est,-0.008887555918106527
Growth 3yr Historic,0.005070266611986229
Price/Earnings (TTM),74.18955
Price/Sales (TTM),3.49749
Price/Book (MRQ),2.04254
Price/Cash Flow (TTM),19.18149
5yr Low,74.37
5yr High,180.36
5yr Avg Return,0.01881666666666667
EPS Growth 5yr,0.0630504
Revenue Growth 5yr,0.004338600000000001
Dividend Growth 5yr,0.0
Short Int Current Month,2262902.0
Short Int Prev Month,2708884.0
Short Int Pct of Float,0.0107938
Days to Cover,1.51619
Float,209.6974
Shares Outstanding,209.8524
Institutions Holding Shares,1221.0
FCF Growth 5yr,0.5702513060288029
"Price/Earnings (TTM, GAAP)",73.23
"PEG Ratio (TTM, GAAP)",10.46
Gross Profit Margin (TTM),0.6979000000000001
Operating Profit Margin (TTM),0.0893
Net Profit Margin (TTM),0.047400000000000005
Annual Dividend Yield,0.008199999999999999
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),0.2622
EPS Growth (TTM),-0.5972
Revenue Growth (MRQ),-0.0629
Revenue Growth (TTM),0.0024
Return On Equity (TTM),0.0271
Return On Assets (TTM),0.015
Return On Investment (TTM),0.0169
Revenue Per Employee (TTM),366805.0
Total Debt/Total Capital (MRQ),0.3181
Change in Debt/Total Capital Quarter over Quarter,-0.0014000000000000002
Quick Ratio (MRQ),1.05
Interest Coverage (MRQ),6.94
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2020-09-19 00:00:00
theStreet since,2021-03-30 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-09-19 00:00:00
ford since,2022-09-09 00:00:00
marketEdge opinion since,
