,HOLX
% Below High,0.0691
% Held by Institutions,0.9898
52-Wk Range,['59.78 - 80.49']
Annual Dividend $,
Annual Dividend %,
Ask,77.0
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.0
Bid,71.85
Bid Size,500.0
Closing Price,74.93
Day Change $,0.55
Day Change %,0.0074
Day High,74.94
Day Low,73.83
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.12
Ex-dividend Date,No dividend
Historical Volatility,0.276
Last (size),15.0
Last (time),1:00p ET 11/25/22
Market Cap,18.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.64
Prev Close,74.38
Short Interest,0.0352
Today's Open,74.52
Volume,450666.0
Volume 10-day Avg,1224248.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.4055944055944056
Growth 1yr High Est,-0.39590443686006827
Growth 1yr Consensus Est,-0.40074942122723695
Growth 2yr Low Est,-0.155738379267791
Growth 2yr High Est,-0.09060758566167254
Growth 2yr Consensus Est,-0.12317298246473177
Growth 5yr Low Est,-0.155738379267791
Growth 5yr High Est,-0.09060758566167254
Growth 5yr Consensus Est,-0.12317298246473177
Growth 5yr Actual/Est,0.1334221168014979
Growth 3yr Historic,0.20721995829324988
Price/Earnings (TTM),14.63931
Price/Sales (TTM),3.78809
Price/Book (MRQ),3.79755
Price/Cash Flow (TTM),10.63406
5yr Low,26.49
5yr High,85.0
5yr Avg Return,0.13138333333333335
EPS Growth 5yr,0.14164
Revenue Growth 5yr,0.09715270000000001
Dividend Growth 5yr,
Short Int Current Month,8592508.0
Short Int Prev Month,8340579.0
Short Int Pct of Float,0.035226
Days to Cover,4.22044
Float,244.0185
Shares Outstanding,245.8338
Institutions Holding Shares,998.0
FCF Growth 5yr,0.7049253506549453
"Price/Earnings (TTM, GAAP)",14.64
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.62
Operating Profit Margin (TTM),0.3372
Net Profit Margin (TTM),0.26780000000000004
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.4792
EPS Growth (TTM),-0.2896
Revenue Growth (MRQ),-0.049400000000000006
Revenue Growth (TTM),-0.1366
Return On Equity (TTM),0.2863
Return On Assets (TTM),0.14470000000000002
Return On Investment (TTM),0.1656
Revenue Per Employee (TTM),700274.0
Total Debt/Total Capital (MRQ),0.36840000000000006
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),3.45
Interest Coverage (MRQ),12.05
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2020-05-15 00:00:00
researchTeam since,2022-09-30 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-11-05 00:00:00
ford since,2022-09-30 00:00:00
marketEdge opinion since,
