,SUM
% Above Low,0.3456
% Held by Institutions,1.0312999999999999
52-Wk Range,['21.99 - 41.46']
Annual Dividend $,
Annual Dividend %,
Ask,29.6
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.4
Bid,29.59
Bid Size,300.0
Day Change $,-0.88
Day Change %,-0.028900000000000002
Day High,30.28
Day Low,29.52
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.41
Ex-dividend Date,No dividend
Historical Volatility,0.435
Last (size),89.0
Last (time),3:38p ET 11/28/22
Market Cap,3.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.64
Prev Close,30.47
Price,29.59
Short Interest,0.0546
Today's Open,30.1
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.21276595744680837
Growth 1yr High Est,0.1166666666666667
Growth 1yr Consensus Est,0.16471631205673753
Growth 2yr Low Est,0.07568122433743935
Growth 2yr High Est,0.24863184079601985
Growth 2yr Consensus Est,0.1621565325667296
Growth 5yr Low Est,0.07568122433743935
Growth 5yr High Est,0.24863184079601985
Growth 5yr Consensus Est,0.1621565325667296
Growth 5yr Actual/Est,0.13875384168446023
Growth 3yr Historic,0.061104544260572685
Price/Earnings (TTM),12.64483
Price/Sales (TTM),1.44387
Price/Book (MRQ),1.81062
Price/Cash Flow (TTM),6.98863
5yr Low,7.51
5yr High,41.46
5yr Avg Return,0.16874999999999996
EPS Growth 5yr,0.19805820000000002
Revenue Growth 5yr,0.08184240000000001
Dividend Growth 5yr,
Short Int Current Month,6327116.0
Short Int Prev Month,6346870.0
Short Int Pct of Float,0.0545819
Days to Cover,7.86777
Float,115.943
Shares Outstanding,116.4251
Institutions Holding Shares,323.0
FCF Growth 5yr,-0.4913255879170733
"Price/Earnings (TTM, GAAP)",12.64
"PEG Ratio (TTM, GAAP)",0.89
Gross Profit Margin (TTM),0.2643
Operating Profit Margin (TTM),0.17920000000000003
Net Profit Margin (TTM),0.11800000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.544
EPS Growth (TTM),0.9908
Revenue Growth (MRQ),0.09640000000000001
Revenue Growth (TTM),0.0079
Return On Equity (TTM),0.15380000000000002
Return On Assets (TTM),0.06820000000000001
Return On Investment (TTM),0.0741
Revenue Per Employee (TTM),446712.0
Total Debt/Total Capital (MRQ),0.4335
Change in Debt/Total Capital Quarter over Quarter,-0.0015
Quick Ratio (MRQ),2.76
Interest Coverage (MRQ),5.72
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-11-11 00:00:00
theStreet since,2022-08-11 00:00:00
cfra since,2022-08-05 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
