,SMP
% Above Low,0.2101
% Held by Institutions,0.7713
52-Wk Range,['31.61 - 55.09']
Annual Dividend $,1.08
Annual Dividend %,0.0277
Ask,38.24
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,0.5
Bid,38.18
Bid Size,100.0
Day Change $,-0.74
Day Change %,-0.019
Day High,38.75
Day Low,38.25
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",3.8
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.34700000000000003
Last (size),100.0
Last (time),2:30p ET 11/28/22
Market Cap,825.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.26
Prev Close,38.99
Price,38.25
Short Interest,0.021
Today's Open,38.75
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.12871287128712883
Growth 1yr High Est,0.13636363636363624
Growth 1yr Consensus Est,0.13253825382538253
Growth 2yr Low Est,0.11698801459093278
Growth 2yr High Est,0.1324675324675324
Growth 2yr Consensus Est,0.12472777352923259
Growth 5yr Low Est,0.05849400729546639
Growth 5yr High Est,0.0662337662337662
Growth 5yr Consensus Est,0.062363886764616294
Growth 5yr Actual/Est,0.07258453398637543
Growth 3yr Historic,0.0993007774104191
Price/Earnings (TTM),10.25829
Price/Sales (TTM),0.61232
Price/Book (MRQ),1.4031
Price/Cash Flow (TTM),7.46517
5yr Low,31.61
5yr High,56.54
5yr Avg Return,-0.005416666666666661
EPS Growth 5yr,0.1019355
Revenue Growth 5yr,0.0417724
Dividend Growth 5yr,0.0844718
Short Int Current Month,409693.0
Short Int Prev Month,360646.0
Short Int Pct of Float,0.0210436
Days to Cover,2.73874
Float,20.18297
Shares Outstanding,21.5701
Institutions Holding Shares,230.0
FCF Growth 5yr,-0.9972357501960395
"Price/Earnings (TTM, GAAP)",10.26
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2779
Operating Profit Margin (TTM),0.08199999999999999
Net Profit Margin (TTM),0.0617
Annual Dividend Yield,0.027700000000000002
Dividend Change %,0.36
"Dividend Growth Rate, 3 Years",0.0669
EPS Growth (MRQ),0.13369999999999999
EPS Growth (TTM),-0.1542
Revenue Growth (MRQ),0.0611
Revenue Growth (TTM),0.0801
Return On Equity (TTM),0.14250000000000002
Return On Assets (TTM),0.0674
Return On Investment (TTM),0.1033
Revenue Per Employee (TTM),274699.0
Total Debt/Total Capital (MRQ),0.3063
Change in Debt/Total Capital Quarter over Quarter,0.0085
Quick Ratio (MRQ),0.73
Interest Coverage (MRQ),9.19
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-08-20 00:00:00
theStreet since,2022-09-09 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-08-05 00:00:00
cfra since,
marketEdge opinion since,
