,KLAC
% Below High,0.16870000000000002
% Held by Institutions,0.8883
52-Wk Range,['250.20 - 457.12']
Annual Dividend $,5.2
Annual Dividend %,0.0137
Ask,380.48
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,379.6
Bid Size,100.0
Closing Price,380.02
Day Change $,-5.61
Day Change %,-0.014499999999999999
Day High,384.52
Day Low,380.0
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",22.14
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.49100000000000005
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,53.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.17
Prev Close,385.63
Short Interest,0.024900000000000002
Today's Open,382.0
Volume,624364.0
Volume 10-day Avg,1496347.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.00389294403892948
Growth 1yr High Est,0.25956521739130434
Growth 1yr Consensus Est,0.12783613667618743
Growth 2yr Low Est,-0.1516777861376865
Growth 2yr High Est,0.1787988323753208
Growth 2yr Consensus Est,0.013560523118817142
Growth 5yr Low Est,0.1914563831652202
Growth 5yr High Est,0.3350006327146243
Growth 5yr Consensus Est,0.26322850793992225
Growth 5yr Actual/Est,0.19575305960907297
Growth 3yr Historic,0.21485133721798888
Price/Earnings (TTM),17.16642
Price/Sales (TTM),5.46622
Price/Book (MRQ),25.62026
Price/Cash Flow (TTM),14.71431
5yr Low,80.65
5yr High,457.12
5yr Avg Return,0.30284999999999995
EPS Growth 5yr,0.30099940000000003
Revenue Growth 5yr,0.2149362
Dividend Growth 5yr,0.1443717
Short Int Current Month,3523413.0
Short Int Prev Month,2733163.0
Short Int Pct of Float,0.0249309
Days to Cover,2.01826
Float,141.3435
Shares Outstanding,141.7183
Institutions Holding Shares,1508.0
FCF Growth 5yr,0.035108135288218247
"Price/Earnings (TTM, GAAP)",17.17
"PEG Ratio (TTM, GAAP)",4.31
Gross Profit Margin (TTM),0.6301
Operating Profit Margin (TTM),0.3992
Net Profit Margin (TTM),0.3329
Annual Dividend Yield,0.013700000000000002
Dividend Change %,0.16670000000000001
"Dividend Growth Rate, 3 Years",0.1187
EPS Growth (MRQ),0.3331
EPS Growth (TTM),0.2534
Revenue Growth (MRQ),0.0956
Revenue Growth (TTM),0.32
Return On Equity (TTM),1.0998999999999999
Return On Assets (TTM),0.27030000000000004
Return On Investment (TTM),0.3525
Revenue Per Employee (TTM),703748.0
Total Debt/Total Capital (MRQ),0.7502
Change in Debt/Total Capital Quarter over Quarter,0.005600000000000001
Quick Ratio (MRQ),1.67
Interest Coverage (MRQ),15.77
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
theStreet since,2016-01-29 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-01-24 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
