,BASE
% Above Low,0.23850000000000002
% Held by Institutions,0.9234
52-Wk Range,['10.19 - 34.80']
Annual Dividend $,
Annual Dividend %,
Ask,14.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,
Bid,12.1
Bid Size,200.0
Closing Price,12.62
Day Change $,-0.02
Day Change %,-0.0016
Day High,12.84
Day Low,12.1
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.46
Ex-dividend Date,No dividend
Historical Volatility,0.8440000000000001
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,565.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,12.64
Short Interest,0.0239
Today's Open,12.48
Volume,72768.0
Volume 10-day Avg,215973.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-06 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.01680672268907568
Growth 2yr High Est,-0.12149532710280386
Growth 2yr Consensus Est,-0.06915102489593977
Growth 5yr Low Est,-0.01680672268907568
Growth 5yr High Est,-0.12149532710280386
Growth 5yr Consensus Est,-0.06915102489593977
Growth 5yr Actual/Est,-0.2528126635269492
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),4.02189
Price/Book (MRQ),3.39583
Price/Cash Flow (TTM),
5yr Low,10.19
5yr High,52.26
5yr Avg Return,-0.3271
Short Int Current Month,955532.0
Short Int Prev Month,947682.0
Short Int Pct of Float,0.023914599999999998
Days to Cover,3.90894
Float,44.33025
Shares Outstanding,44.78634
Institutions Holding Shares,136.0
FCF Growth 5yr,0.09362508403969239
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8769
Operating Profit Margin (TTM),-0.4439
Net Profit Margin (TTM),-0.45799999999999996
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.23170000000000002
EPS Growth (TTM),
Revenue Growth (MRQ),0.1417
Revenue Growth (TTM),
Return On Equity (TTM),-0.349
Return On Assets (TTM),-0.2268
Return On Investment (TTM),-0.3152
Revenue Per Employee (TTM),217542.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01
Quick Ratio (MRQ),
Interest Coverage (MRQ),-609.32
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-09-08 00:00:00
ford since,2022-04-01 00:00:00
cfra since,
theStreet since,2022-09-08 00:00:00
newConstructs since,
marketEdge opinion since,
