,VIR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",3.2,471.78,Valuation,0.006782822502013651
Price/Sales (TTM),1.52,45.03,Valuation,0.03375527426160337
Price/Book (MRQ),1.68,12.61,Valuation,0.13322759714512292
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.9170999999999999,0.5874,Profitability,1.5612870275791622
Operating Profit Margin (TTM),0.6537000000000001,-4.7459,Profitability,-0.13773994395162142
Net Profit Margin (TTM),0.4803,-4.5467,Profitability,-0.10563705544680757
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),3.2492,-0.0014000000000000002,Gowth rates,-2320.8571428571427
EPS Growth (TTM),11.043,0.027200000000000002,Gowth rates,405.9926470588235
Revenue Growth (MRQ),10.219,1.3963999999999999,Gowth rates,7.318103695216271
Revenue Growth (TTM),7.3654,0.9747,Gowth rates,7.556581512260183
Return On Equity (TTM),0.7552,0.1967,Effectiveness,3.839349262836807
Return On Assets (TTM),0.5851,0.0016,Effectiveness,365.68749999999994
Return On Investment (TTM),0.6793000000000001,0.0219,Effectiveness,31.018264840182656
Revenue Per Employee (TTM),5358410.0,1476201.0,Effectiveness,3.6298647677382685
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),45.79,2.69,Financial strength,17.022304832713754
