,VIR
Price/Earnings (TTM),3.20269
Price/Sales (TTM),1.52355
Price/Book (MRQ),1.68492
Price/Cash Flow (TTM),3.15443
5yr Low,11.65
5yr High,141.01
5yr Avg Return,0.270075
Short Int Current Month,4214692.0
Short Int Prev Month,4402985.0
Short Int Pct of Float,0.0366707
Days to Cover,3.67526
Float,115.0983
Shares Outstanding,133.1156
Institutions Holding Shares,304.0
% Held by Institutions,0.7463299999999999
FCF Growth 5yr,-2.2670358746662624
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
