,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,16.5,75.0,141.01,41.85,,,,,
low,11.65,12.0,25.31,18.05,,,,,
change,-0.2214,1.1322,0.5247999999999999,-0.3553,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,348.0,812.0,1505.0,964.0,Balance Sheet
Short Term Investments,,,,,360.0,448.0,691.0,1383.0,Balance Sheet
Cash and Short Term Invs,,,,,708.0,1260.0,2196.0,2346.0,Balance Sheet
"Total Receivables, Net",,,,,773.0,1223.0,7.0,0.0,Balance Sheet
Prepaid Expenses,,,,,73.0,70.0,72.0,54.0,Balance Sheet
"Other Curr. Assets, Total",,,,,9.0,14.0,13.0,13.0,Balance Sheet
Total Current Assets,,,,,1563.0,2568.0,2288.0,2414.0,Balance Sheet
Buildings,,,,,8.0,8.0,8.0,9.0,Balance Sheet
Machinery/Equipment,,,,,21.0,22.0,25.0,33.0,Balance Sheet
Construction in Progress,,,,,27.0,50.0,68.0,76.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,89.0,90.0,88.0,87.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,145.0,170.0,189.0,204.0,Balance Sheet
Accumulated Depreciation,,,,,-14.0,-16.0,-17.0,-19.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,130.0,154.0,172.0,185.0,Balance Sheet
"Goodwill, Net",,,,,17.0,17.0,17.0,17.0,Balance Sheet
Intangibles - Net,,,,,33.0,33.0,33.0,33.0,Balance Sheet
Long Term Investments,,,,,201.0,104.0,98.0,34.0,Balance Sheet
Other Long Term Assets,,,,,3.0,3.0,3.0,6.0,Balance Sheet
Total Assets,,,,,1954.0,2887.0,2619.0,2696.0,Balance Sheet
Accounts Payable,,,,,7.0,11.0,11.0,3.0,Balance Sheet
Accrued Expenses,,,,,142.0,578.0,354.0,283.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,,98.0,114.0,113.0,23.0,Balance Sheet
Other Payables,,,,,95.0,0.0,0.0,0.0,Balance Sheet
Other Current Liabilities,,,,,0.0,0.0,,,Balance Sheet
"Other Curr. Lblts, Total",,,,,193.0,114.0,113.0,23.0,Balance Sheet
Total Current Liabilities,,,,,341.0,702.0,478.0,308.0,Balance Sheet
Total Long Term Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Deferred Income Tax,,,,,18.0,18.0,18.0,18.0,Balance Sheet
"Other Liabilities, Total",,,,,163.0,165.0,171.0,219.0,Balance Sheet
Total Liabilities,,,,,522.0,886.0,667.0,546.0,Balance Sheet
Common Stock,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,1572.0,1626.0,1656.0,1683.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,-139.0,380.0,304.0,479.0,Balance Sheet
Unrealized Gain (Loss),,,,,-1.0,-5.0,-8.0,-12.0,Balance Sheet
Total Equity,,,,,1432.0,2001.0,1952.0,2150.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,1954.0,2887.0,2619.0,2696.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,131.0,132.0,133.0,133.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,813.0,1232.0,-41.0,375.0,Income Statement
"Cost of Revenue, Total",,,,,57.0,90.0,28.0,22.0,Income Statement
Selling/Gen/Admin Expense,,,,,44.0,26.0,29.0,31.0,Income Statement
Labor & Related Expense,,,,,12.0,12.0,13.0,12.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,56.0,38.0,42.0,43.0,Income Statement
Research & Development,,,,,128.0,90.0,115.0,114.0,Income Statement
Total Operating Expense,,,,,241.0,219.0,185.0,180.0,Income Statement
Total Operating Income,,,,,572.0,1014.0,-225.0,195.0,Income Statement
"Inter Income, Non-Operating",,,,,0.0,0.0,2.0,9.0,Income Statement
"Invest Income, Non-Operat",,,,,-26.0,-95.0,-11.0,-14.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,-26.0,-95.0,-9.0,-4.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,0.0,3.0,1.0,27.0,Income Statement
"Other, Net",,,,,0.0,3.0,1.0,27.0,Income Statement
Income Before Tax,,,,,546.0,922.0,-234.0,218.0,Income Statement
Income Tax - Total,,,,,21.0,403.0,-157.0,42.0,Income Statement
Income After Tax,,,,,525.0,519.0,-76.0,175.0,Income Statement
Net Inc Before Extra Items,,,,,525.0,519.0,-76.0,175.0,Income Statement
Total Net Income,,,,,525.0,519.0,-76.0,175.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,525.0,519.0,-76.0,175.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,525.0,519.0,-76.0,175.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,131.0,132.0,132.0,133.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,4.01,3.93,-0.58,1.32,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,4.01,3.93,-0.58,1.32,Income Statement
Diluted Weighted Average Shares,,,,,134.0,135.0,132.0,135.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,3.93,3.85,-0.58,1.3,Income Statement
Diluted EPS Incl. Extra. Items,,,,,3.93,3.85,-0.58,1.3,Income Statement
Div/Share-ComStockPrimIssue,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,,1.0,1.0,2.0,2.0,Income Statement
Normalzd Income Before Tax,,,,,546.0,922.0,-234.0,218.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,21.0,403.0,-157.0,42.0,Income Statement
Normalized Income After Tax,,,,,525.0,519.0,-76.0,175.0,Income Statement
Normalzd Inc Avail to Common,,,,,525.0,519.0,-76.0,175.0,Income Statement
Basic Normalized EPS,,,,,4.01,3.93,-0.58,1.32,Income Statement
Diluted Normalized EPS,,,,,3.93,3.85,-0.58,1.3,Income Statement
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,529.0,519.0,442.0,617.0,Cash Flow
Depreciation/Depletion,,,,,5.0,1.0,3.0,4.0,Cash Flow
Amortization,,,,,1.0,0.0,0.0,0.0,Cash Flow
Deferred Taxes,,,,,15.0,,,,Cash Flow
Unusual Items,,,,,-46.0,91.0,509.0,481.0,Cash Flow
Other Non-Cash Items,,,,,77.0,-65.0,-35.0,-11.0,Cash Flow
Non-Cash Items,,,,,31.0,26.0,474.0,470.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,,,,192.0,Cash Flow
Accounts Receivable,,,,,-773.0,-450.0,434.0,492.0,Cash Flow
Prepaid Expenses,,,,,-4.0,0.0,-5.0,11.0,Cash Flow
Other Assets,,,,,-1.0,0.0,0.0,-3.0,Cash Flow
Accounts Payable,,,,,0.0,4.0,2.0,-2.0,Cash Flow
Accrued Expenses,,,,,58.0,433.0,144.0,63.0,Cash Flow
Changes in Working Capital,,,,,-628.0,4.0,591.0,536.0,Cash Flow
Total Cash from Operations,,,,,-48.0,550.0,1510.0,1628.0,Cash Flow
Capital Expenditures,,,,,-22.0,-16.0,-36.0,-55.0,Cash Flow
Sale of Fixed Assets,,,,,0.0,0.0,0.0,0.0,Cash Flow
Sale/Maturity of Investment,,,,,301.0,0.0,0.0,85.0,Cash Flow
Purchase of Investments,,,,,-420.0,-90.0,-341.0,-1070.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,-119.0,-90.0,-341.0,-985.0,Cash Flow
Total Cash from Investing,,,,,-141.0,-105.0,-378.0,-1040.0,Cash Flow
Financing Cash Flow Items,,,,,0.0,-1.0,-1.0,-1.0,Cash Flow
Sale/Issuance of Common,,,,,88.0,28.0,31.0,31.0,Cash Flow
Repurch/Retirement Common,,,,,0.0,,,,Cash Flow
"Common Stock, Net",,,,,88.0,28.0,31.0,31.0,Cash Flow
"Preferred Stock, Net",,,,,0.0,,,,Cash Flow
Options Exercised,,,,,13.0,0.0,2.0,4.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,101.0,29.0,32.0,34.0,Cash Flow
Long Term Debt Issued,,,,,0.0,,,,Cash Flow
Long Term Debt Reduction,,,,,0.0,0.0,0.0,0.0,Cash Flow
"Long Term Debt, Net",,,,,0.0,0.0,0.0,0.0,Cash Flow
Total Debt Issued,,,,,0.0,,,,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,0.0,0.0,0.0,0.0,Cash Flow
Total Cash From Financing,,,,,100.0,28.0,31.0,33.0,Cash Flow
Net Change in Cash,,,,,-88.0,472.0,1163.0,621.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,451.0,363.0,363.0,363.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,363.0,836.0,1527.0,984.0,Cash Flow
"Depreciation, Supplemental",,,,,5.0,1.0,3.0,4.0,Cash Flow
Free Cash Flow,,,,,-70.0,534.0,1474.0,1573.0,
FCF Growth,,,,,,-8.62857142857143,1.7602996254681647,0.0671641791044777,
