,EMN
% Above Low,0.24420000000000003
% Held by Institutions,0.8541
52-Wk Range,['69.91 - 129.48']
Annual Dividend $,3.04
Annual Dividend %,0.035
Ask,92.64
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.5
Bid,76.75
Bid Size,100.0
Closing Price,86.98
Day Change $,0.1
Day Change %,0.0012
Day High,87.15
Day Low,86.26
Dividend Pay Date,2022-10-07 00:00:00
"EPS (TTM, GAAP)",9.07
Ex-dividend,2022-09-14 00:00:00
Ex-dividend Date,09/14/22
Historical Volatility,0.35700000000000004
Last (size),29.0
Last (time),5:00p ET 11/25/22
Market Cap,10.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.59
Prev Close,86.88
Short Interest,0.0147
Today's Open,86.67
Volume,259948.0
Volume 10-day Avg,851639.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.07386363636363635
Growth 1yr High Est,-0.08066298342541445
Growth 1yr Consensus Est,-0.0772633098945254
Growth 2yr Low Est,-0.08662506971556055
Growth 2yr High Est,0.01976466213344663
Growth 2yr Consensus Est,-0.03343020379105696
Growth 5yr Low Est,0.06601080655725167
Growth 5yr High Est,0.0959287887549721
Growth 5yr Consensus Est,0.08096979765611188
Growth 5yr Actual/Est,0.05967959810176032
Growth 3yr Historic,0.0753942462285773
Price/Earnings (TTM),9.58764
Price/Sales (TTM),0.95741
Price/Book (MRQ),1.93766
Price/Cash Flow (TTM),6.30239
5yr Low,34.44
5yr High,130.47
5yr Avg Return,0.009749999999999997
EPS Growth 5yr,0.0166789
Revenue Growth 5yr,0.0306553
Dividend Growth 5yr,0.0844718
Short Int Current Month,1755920.0
Short Int Prev Month,1669446.0
Short Int Pct of Float,0.0147177
Days to Cover,1.43274
Float,119.3742
Shares Outstanding,119.9904
Institutions Holding Shares,897.0
FCF Growth 5yr,3.10875402792696
"Price/Earnings (TTM, GAAP)",9.59
"PEG Ratio (TTM, GAAP)",3.95
Gross Profit Margin (TTM),0.21280000000000002
Operating Profit Margin (TTM),0.15230000000000002
Net Profit Margin (TTM),0.1077
Annual Dividend Yield,0.035
Dividend Change %,0.0455
"Dividend Growth Rate, 3 Years",0.0721
EPS Growth (MRQ),0.2152
EPS Growth (TTM),1.4434
Revenue Growth (MRQ),-0.0269
Revenue Growth (TTM),0.0936
Return On Equity (TTM),0.2034
Return On Assets (TTM),0.0752
Return On Investment (TTM),0.0949
Revenue Per Employee (TTM),778643.0
Total Debt/Total Capital (MRQ),0.48090000000000005
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),0.66
Interest Coverage (MRQ),7.04
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2020-04-03 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-10-12 00:00:00
