,EMN
Price/Earnings (TTM),9.58764
Price/Sales (TTM),0.95741
Price/Book (MRQ),1.93766
Price/Cash Flow (TTM),6.30239
5yr Low,34.44
5yr High,130.47
5yr Avg Return,0.009749999999999997
EPS Growth 5yr,0.0166789
Revenue Growth 5yr,0.0306553
Dividend Growth 5yr,0.0844718
Short Int Current Month,1755920.0
Short Int Prev Month,1669446.0
Short Int Pct of Float,0.0147177
Days to Cover,1.43274
Float,119.3742
Shares Outstanding,119.9904
Institutions Holding Shares,897.0
% Held by Institutions,0.854144
FCF Growth 5yr,3.10875402792696
