,C,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",6.51,11.43,Valuation,0.5695538057742782
Price/Sales (TTM),1.24,3.3,Valuation,0.3757575757575758
Price/Book (MRQ),0.52,1.46,Valuation,0.35616438356164387
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.2602,0.34240000000000004,Profitability,0.7599299065420559
Net Profit Margin (TTM),0.2101,0.2812,Profitability,0.7471550497866287
Annual Dividend Yield,0.0422,0.028700000000000003,Dividend,1.470383275261324
Dividend Change %,0.0,-0.0086,Dividend,-0.0
"Dividend Growth Rate, 3 Years",0.0983,0.0734,Dividend,1.3392370572207084
EPS Growth (MRQ),-0.2907,-0.0335,Gowth rates,8.677611940298508
EPS Growth (TTM),-0.2962,-0.09960000000000001,Gowth rates,2.9738955823293174
Revenue Growth (MRQ),0.27440000000000003,0.5429,Gowth rates,0.5054337815435623
Revenue Growth (TTM),0.2137,0.2466,Gowth rates,0.8665855636658556
Return On Equity (TTM),0.0806,0.1135,Effectiveness,0.7101321585903084
Return On Assets (TTM),0.0067,0.0099,Effectiveness,0.6767676767676767
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0,0.0009,Financial strength,0.0
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
