,C
% Above Low,0.2071
% Held by Institutions,0.701
52-Wk Range,['40.01 - 69.11']
Annual Dividend $,2.04
Annual Dividend %,0.042199999999999994
Ask,48.42
Ask Size,100.0
B/A Ratio,15.0
B/A Size,1500x100
Beta,1.6
Bid,48.22
Bid Size,1500.0
Closing Price,48.29
Day Change $,0.05
Day Change %,0.001
Day High,48.53
Day Low,48.13
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",7.42
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.32799999999999996
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,93.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.51
Prev Close,48.24
Short Interest,0.0151
Today's Open,48.2
Volume,6823564.0
Volume 10-day Avg,17176888.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-13 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.3116089613034624
Growth 1yr High Est,-0.27166504381694245
Growth 1yr Consensus Est,-0.2916370025602024
Growth 2yr Low Est,-0.4568399836103111
Growth 2yr High Est,-0.13315872511702748
Growth 2yr Consensus Est,-0.2949993543636693
Growth 5yr Low Est,-0.13697353839764514
Growth 5yr High Est,-0.019758553309958876
Growth 5yr Consensus Est,-0.07836604585380201
Growth 5yr Actual/Est,0.07145584859393964
Growth 3yr Historic,0.17196422916219722
Price/Earnings (TTM),6.51159
Price/Sales (TTM),1.24283
Price/Book (MRQ),0.52087
Price/Cash Flow (TTM),4.94243
5yr Low,32.0
5yr High,83.11
5yr Avg Return,-0.024900000000000002
EPS Growth 5yr,0.1641507
Revenue Growth 5yr,-0.027370000000000002
Dividend Growth 5yr,0.37175379999999997
Short Int Current Month,29199317.0
Short Int Prev Month,29980897.0
Short Int Pct of Float,0.015116600000000001
Days to Cover,1.58844
Float,1932.746
Shares Outstanding,1936.853
Institutions Holding Shares,2138.0
FCF Growth 5yr,-0.5012284920116293
"Price/Earnings (TTM, GAAP)",6.51
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2602
Net Profit Margin (TTM),0.2101
Annual Dividend Yield,0.0422
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0983
EPS Growth (MRQ),-0.2907
EPS Growth (TTM),-0.2962
Revenue Growth (MRQ),0.27440000000000003
Revenue Growth (TTM),0.2137
Return On Equity (TTM),0.0806
Return On Assets (TTM),0.0067
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-08-13 00:00:00
cfra since,2022-08-03 00:00:00
ford since,2022-10-07 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-06-22 00:00:00
